time,p,q,i_bus_D,i_bus_Q
0.0,0.49999999999999983,0.19999999999999996,-0.49995887718401033,0.2005518972007696
0.002004008016032064,0.5000000014832386,0.20000000059329548,-0.4999588779206919,0.20055189751039348
0.004008016032064128,0.5000000004961667,0.2000000001984667,-0.499958877424565,0.20055189731899442
0.0060120240480961915,0.499999999546715,0.19999999981868602,-0.4999588769485942,0.2005518971317809
0.008016032064128256,0.49999999866272066,0.19999999946508829,-0.49995887650585796,0.20055189695642725
0.01002004008016032,0.49999999787089056,0.19999999914835623,-0.49995887610970197,0.20055189679830607
0.012024048096192383,0.4999999971936145,0.1999999988774458,-0.4999588757712927,0.2005518966619762
0.014028056112224447,0.49999999664816347,0.1999999986592654,-0.4999588754991941,0.20055189655107797
0.01603206412825651,0.49999999624658614,0.19999999849863448,-0.4999588752993385,0.20055189646825608
0.018036072144288574,0.49999999599570805,0.19999999839828322,-0.4999588751750333,0.20055189641514118
0.02004008016032064,0.4999999958971348,0.19999999835885393,-0.49995887512697035,0.2005518963923317
0.022044088176352703,0.4999999962503471,0.19999999850013886,-0.49995887528999805,0.20055189649698277
0.024048096192384766,0.4999999961633399,0.19999999846533598,-0.49995887525430555,0.2005518964600699
0.026052104208416832,0.4999999964516732,0.1999999985806693,-0.49995887540594947,0.20055189649922592
0.028056112224448895,0.49999999687439994,0.19999999874976,-0.49995887561922625,0.20055189657919117
0.03006012024048096,0.4999999973795296,0.19999999895181186,-0.49995887587220467,0.20055189667941317
0.03206412825651302,0.4999999979364473,0.19999999917457892,-0.49995887615060913,0.2005518967911825
0.03406813627254509,0.4999999985106934,0.19999999940427737,-0.49995887643737685,0.20055189690717556
0.03607214428857715,0.49999999906227405,0.19999999962490964,-0.49995887671259176,0.20055189701917403
0.038076152304609215,0.4999999995458784,0.1999999998183514,-0.4999588769537255,0.20055189711777874
0.04008016032064128,0.4999999999109702,0.1999999999643881,-0.499958877135695,0.20055189719239802
0.04208416833667334,0.5000000001018071,0.20000000004072285,-0.4999588772308808,0.20055189723123107
0.044088176352705406,0.500000001689326,0.20000000067573043,-0.4999588780310482,0.20055189753347372
0.04609218436873747,0.5000000040465756,0.20000000161863027,-0.49995887922326954,0.20055189797208808
0.04809619238476953,0.500000004732269,0.20000000189290762,-0.4999588795480459,0.20055189815458271
0.0501002004008016,0.5000000053022826,0.20000000212091304,-0.49995887984419973,0.20055189824105285
0.052104208416833664,0.5000000055250998,0.20000000221003994,-0.4999588799577689,0.2005518982803304
0.05410821643286573,0.5000000053960082,0.2000000021584033,-0.49995887989158855,0.2005518982585288
0.05611222444889779,0.5000000049787702,0.2000000019915081,-0.499958879680213,0.20055189818176547
0.058116232464929855,0.5000000043389056,0.20000000173556223,-0.49995887935716404,0.20055189806127452
0.06012024048096192,0.5000000035365453,0.20000000141461813,-0.4999588789528432,0.20055189790827146
0.06212424849699398,0.500000002626411,0.2000000010505644,-0.49995887849484344,0.2005518977331464
0.06412825651302605,0.5000000016579802,0.2000000006631921,-0.4999588780080719,0.2005518975453972
0.06613226452905811,0.500000000675513,0.2000000002702052,-0.4999588775147708,0.20055189735361645
0.06813627254509018,0.4999999997180565,0.1999999998872226,-0.4999588770345273,0.20055189716547225
0.07014028056112225,0.49999999881944845,0.1999999995277794,-0.4999588765842784,0.20055189698770243
0.0721442885771543,0.4999999982815856,0.19999999931263426,-0.4999588762994132,0.20055189691960967
0.07414829659318636,0.4999999973304719,0.19999999893218878,-0.4999588758319988,0.20055189670866108
0.07615230460921843,0.4999999967354946,0.19999999869419785,-0.49995887554124496,0.20055189657260894
0.0781563126252505,0.4999999963070356,0.19999999852281425,-0.4999588753290826,0.20055189648157123
0.08016032064128256,0.4999999960285454,0.19999999841141816,-0.49995887519105736,0.20055189642270707
0.08216432865731463,0.49999999590192934,0.19999999836077176,-0.4999588751289622,0.20055189639430349
0.08416833667334668,0.4999999959249585,0.19999999836998342,-0.49995887514169135,0.20055189639589185
0.08617234468937875,0.4999999960898756,0.19999999843595026,-0.4999588752252684,0.20055189642616103
0.08817635270541081,0.4999999963836247,0.19999999855344988,-0.4999588753730761,0.20055189648271654
0.09018036072144288,0.49999999678791623,0.1999999987151665,-0.4999588755758875,0.20055189656209724
0.09218436873747494,0.4999999972792384,0.19999999891169537,-0.4999588758219014,0.20055189665970286
0.09418837675350701,0.49999999782888366,0.19999999913155347,-0.49995887609674616,0.20055189676982368
0.09619238476953906,0.49999999904126835,0.19999999961650736,-0.4999588767120334,0.2005518969901727
0.09819639278557113,0.4999999990452724,0.199999999618109,-0.49995887669084715,0.2005518970487818
0.1002004008016032,0.4849792471140158,0.19399169884560633,-0.4912992172392154,0.20021882796871068
0.10220440881763526,0.44712948919453877,0.1788517956778155,-0.4705851926600425,0.19505280116004106
0.10420841683366733,0.4570584203012478,0.18282336812049915,-0.47333324341131755,0.20301234638610827
0.1062124248496994,0.45743813759520163,0.18297525503808065,-0.47070552511217995,0.20955918833893272
0.10821643286573146,0.4527423744804801,0.18109694979219207,-0.4670231076658577,0.21128873409325447
0.11022044088176351,0.4489950508325333,0.17959802033301334,-0.46498003377295066,0.210647297919735
0.11222444889779558,0.4474321346750706,0.17897285387002826,-0.464431041446564,0.2097032899797038
0.11422845691382764,0.44723586501264734,0.17889434600505894,-0.4645504766270325,0.20916646412462056
0.11623246492985971,0.44749415441627693,0.1789976617665108,-0.46478326819916377,0.2090075823012436
0.11823647294589178,0.44774832428077654,0.17909932971231063,-0.46493389990141587,0.20902544001393772
0.12024048096192384,0.44789029951923237,0.17915611980769294,-0.46499788329885244,0.20908020258065127
0.1222444889779559,0.44795381589589395,0.1791815263583576,-0.46501977481034346,0.20911966424980738
0.12424849699398796,0.44798891258155643,0.17919556503262257,-0.46503244034019914,0.20914019957984645
0.12625250501002003,0.4480223044519255,0.17920892178077022,-0.4650480855012318,0.209151741859194
0.1282565130260521,0.44806029489691873,0.17922411795876753,-0.46506713427301966,0.20916209432029667
0.13026052104208416,0.44810026929947155,0.17924010771978865,-0.46508662574962745,0.2091742124877103
0.13226452905811623,0.44813850362856283,0.17925540145142516,-0.4651042340144983,0.20918810146286348
0.1342685370741483,0.4481727875813441,0.17926911503253765,-0.4651189684583497,0.2092028979315871
0.13627254509018036,0.44820241871092226,0.17928096748436892,-0.4651307148717232,0.20921788194272112
0.13827655310621242,0.4482276116341558,0.17929104465366233,-0.46513977101171183,0.20923268967079164
0.1402805611222445,0.44824865090017196,0.1792994603600688,-0.46514638124069574,0.20924717290416614
0.14228456913827653,0.4482659494529752,0.1793063797811901,-0.46515081851439694,0.20926129783406539
0.1442885771543086,0.4482798440120267,0.1793119376048107,-0.46515329489391727,0.2092750602193971
0.14629258517034066,0.4482906752315987,0.17931627009263948,-0.465154021678838,0.2092884628971335
0.14829659318637273,0.448298770896539,0.17931950835861563,-0.4651532035816332,0.20930150544789852
0.1503006012024048,0.4483044547415644,0.17932178189662576,-0.46515104144505137,0.20931419040103466
0.15230460921843686,0.4483080412152003,0.17932321648608013,-0.46514772807416893,0.20932652525067452
0.15430861723446893,0.44830982848573087,0.17932393139429234,-0.4651434442068461,0.20933852172401035
0.156312625250501,0.4483100934416224,0.17932403737664898,-0.4651383561414287,0.20935019412940953
0.15831663326653306,0.44830908916617473,0.1793236356664699,-0.4651326148464808,0.20936155783921823
0.16032064128256512,0.44830704422560297,0.1793228176902412,-0.4651263559841279,0.2093726282546047
0.1623246492985972,0.4483041625991341,0.17932166503965363,-0.46511970005943754,0.2093834203788069
0.16432865731462926,0.4483006224701687,0.1793202489880675,-0.4651127525118724,0.20939394693949717
0.16633266533066132,0.4482965954889407,0.17931863819557628,-0.46510561413132323,0.2094042219470149
0.16833667334669336,0.4482922047777081,0.17931688191108325,-0.465098356207638,0.2094142576951209
0.17034068136272543,0.44828757984411244,0.17931503193764498,-0.4650910554608479,0.20942406327218366
0.1723446893787575,0.44828281866373043,0.17931312746549216,-0.46508376851802175,0.20943364870549042
0.17434869739478956,0.44827800996730705,0.17931120398692282,-0.46507654659722497,0.20944302322998734
0.17635270541082163,0.44827322681995957,0.17930929072798385,-0.46506943182954835,0.2094521945586052
0.1783567134268537,0.4482685295918014,0.17930741183672058,-0.4650624588739231,0.2094611694109988
0.18036072144288576,0.4482639675425568,0.17930558701702273,-0.4650556558070932,0.20946995373165922
0.18236472945891782,0.44825958015575096,0.17930383206230038,-0.46504904490516924,0.209478552801947
0.1843687374749499,0.44825539835200273,0.1793021593408011,-0.4650426433611048,0.2094869713270575
0.18637274549098196,0.4482514456079535,0.1793005782431814,-0.4650364639459575,0.20949521351722247
0.18837675350701402,0.4482477389643479,0.17929909558573917,-0.46503051560544045,0.2095032831591646
0.1903807615230461,0.44824428993872584,0.17929771597549035,-0.46502480399966906,0.2095111836816545
0.19238476953907813,0.4482411053423963,0.17929644213695853,-0.46501933198654083,0.20951891821372925
0.1943887775551102,0.44823818800975307,0.17929527520390126,-0.46501410005335203,0.20952648963650083
0.19639278557114226,0.4482355374441259,0.17929421497765038,-0.4650091066994334,0.20953390062817243
0.19839679358717432,0.44823315038784706,0.17929326015513886,-0.46500434877413965,0.2095411537032604
0.2004008016032064,0.4482341469132115,0.17929365876528464,-0.46500120098910064,0.20954951895958807
0.20240480961923846,0.44822858861171894,0.17929143544468756,-0.4649952777778037,0.20955496569308626
0.20440881763527052,0.44823023005208573,0.17929209202083432,-0.4649927491715081,0.20956284939452496
0.2064128256513026,0.4482276330395498,0.17929105321581992,-0.46498834690436286,0.20956902125476798
0.20841683366733466,0.4482273620691774,0.17929094482767097,-0.46498516136781476,0.20957571394115937
0.21042084168336672,0.4482250662141997,0.17929002648567988,-0.464981011241762,0.20958174283237962
0.2124248496993988,0.44822393615618494,0.17928957446247398,-0.4649775764857538,0.20958779847396924
0.21442885771543085,0.44822312085199617,0.17928924834079848,-0.4649743667612069,0.20959379043497395
0.21643286573146292,0.4482224907776994,0.17928899631107975,-0.4649713280244816,0.20959965930122318
0.21843687374749496,0.4482220267379041,0.17928881069516167,-0.4649684529860189,0.2096053946866473
0.22044088176352702,0.44822171846167636,0.17928868738467055,-0.46496573506730315,0.2096109969827999
0.2224448897795591,0.4482215554770314,0.17928862219081257,-0.46496316684142674,0.20961646818378238
0.22444889779559116,0.4482227141068074,0.17928908564272297,-0.46496132258261963,0.2096221628967592
0.22645290581162322,0.4482217460337792,0.1792886984135117,-0.4649584777980858,0.20962713271003403
0.2284569138276553,0.4482218298959475,0.17928873195837902,-0.46495627493932146,0.20963213472493122
0.23046092184368736,0.4482221410666926,0.17928885642667705,-0.46495423607881375,0.20963708750640023
0.23246492985971942,0.448222553887345,0.179289021554938,-0.46495230830682605,0.20964193447518978
0.2344689378757515,0.4482230509659298,0.17928922038637193,-0.4649504852896591,0.20964666561556905
0.23647294589178355,0.4482236244194792,0.1792894497677917,-0.46494876200083,0.20965128117459025
0.23847695390781562,0.4482242669022379,0.17928970676089517,-0.46494713302079366,0.20965578301400542
0.24048096192384769,0.4482249712950739,0.17928998851802955,-0.46494559292794335,0.20966017331314868
0.24248496993987975,0.44822573072988126,0.17929029229195254,-0.46494413643297955,0.20966445430474018
0.2444889779559118,0.44822653863322376,0.1792906154532895,-0.46494275844256105,0.20966862819417362
0.24649298597194386,0.44822738879413665,0.17929095551765467,-0.46494145410813426,0.20967269714511558
0.24849699398797592,0.44822827539488486,0.17929131015795394,-0.4649402188409176,0.20967666328888718
0.250501002004008,0.44822919302791386,0.17929167721116554,-0.46493904831550376,0.20968052873997206
0.25250501002004005,0.44823013666239786,0.17929205466495915,-0.46493793845621606,0.20968429558000928
0.2545090180360721,0.4482310827975645,0.17929243311902582,-0.46493687615049556,0.2096879603675802
0.2565130260521042,0.44823206539635363,0.17929282615854145,-0.4649358771875339,0.20969153509971608
0.25851703406813625,0.448233061192348,0.1792932244769392,-0.46493492746489434,0.20969501885328357
0.2605210420841683,0.4482340281112108,0.17929361124448434,-0.4649340052007125,0.20969840170494655
0.2625250501002004,0.4482350149214672,0.1792940059685869,-0.46493313487766325,0.20970169686366508
0.26452905811623245,0.4482360227848748,0.17929440911394992,-0.4649323137342696,0.20970491206421843
0.2665330661322645,0.4482370359084688,0.17929481436338754,-0.46493153287406747,0.20970804518144984
0.2685370741482966,0.4482380650459284,0.17929522601837136,-0.464930797285357,0.2097111000404002
0.27054108216432865,0.44823909036759424,0.1792956361470377,-0.46493009549991104,0.20971407463153222
0.2725450901803607,0.44824013216942366,0.17929605286776945,-0.46492943662016084,0.20971697686206917
0.2745490981963928,0.44824113851027714,0.17929645540411085,-0.4649287923510738,0.20971979759416995
0.27655310621242485,0.4482421277987347,0.1792968511194939,-0.46492817391212427,0.20972253742991045
0.2785571142284569,0.4482431205112179,0.17929724820448717,-0.46492758862614353,0.20972520847071394
0.280561122244489,0.44824412067774466,0.17929764827109787,-0.4649270369451761,0.20972781529333195
0.282565130260521,0.4482450763994874,0.17929803055979499,-0.46492649291799776,0.2097303436221534
0.28456913827655306,0.4482460328324471,0.17929841313297887,-0.4649259785325775,0.20973280719463758
0.2865731462925851,0.4482469773279986,0.17929879093119946,-0.46492548584663196,0.20973520611909752
0.2885771543086172,0.4482479076289545,0.17929916305158183,-0.4649250131007166,0.20973754117515803
0.29058116232464926,0.4482488230983618,0.17929952923934472,-0.46492455924048975,0.20973981382097812
0.2925851703406813,0.44824972330723406,0.17929988932289365,-0.46492412328907273,0.20974202563059852
0.2945891783567134,0.4482506079051175,0.179300243162047,-0.46492370432377134,0.2097441781664693
0.29659318637274545,0.44825147661232106,0.17930059064492845,-0.4649233014795549,0.2097462729609959
0.2985971943887775,0.44825232921473085,0.17930093168589234,-0.4649229139471621,0.20974831151356993
0.3006012024048096,0.44825316555859834,0.17930126622343937,-0.464922540970174,0.20975029528985487
0.30260521042084165,0.4482539855454279,0.17930159421817116,-0.4649221818416962,0.2097522257220719
0.3046092184368737,0.44825478912706995,0.179301915650828,-0.46492183590111397,0.20975410420941237
0.3066132264529058,0.4482555763006622,0.1793022305202649,-0.46492150253068804,0.20975593211858873
0.30861723446893785,0.4482563471037961,0.17930253884151845,-0.4649211811523544,0.20975771078424782
0.3106212424849699,0.4482571016100083,0.17930284064400334,-0.46492087122470804,0.20975944150942352
0.312625250501002,0.44825783992460744,0.17930313596984299,-0.46492057224023026,0.20976112556591428
0.31462925851703405,0.4482585621808623,0.17930342487234494,-0.4649202837227221,0.20976276419470355
0.3166332665330661,0.4482592685365214,0.17930370741460858,-0.464920005224926,0.20976435860642034
0.3186372745490982,0.44825995917060035,0.17930398366824016,-0.46491973632632333,0.20976590998178077
0.32064128256513025,0.4482606342804176,0.17930425371216704,-0.46491947663105343,0.20976741947210392
0.3226452905811623,0.448261294078886,0.17930451763155442,-0.46491922576601913,0.20976888819976755
0.3246492985971944,0.44826193879205006,0.17930477551682003,-0.46491898337912396,0.20977031725871204
