time,i_bus_d,i_bus_q,p,q
0.0,0.0,0.0,0.0,0.0
0.002004008016032064,-4.619386081067618e-22,4.737889168708011e-22,2.1893160770460963e-44,2.1893160770460963e-44
0.004008016032064128,-5.360888288127591e-24,3.1080996946203293e-22,4.831578812011381e-45,4.831578812011381e-45
0.0060120240480961915,9.827689440335565e-23,1.0801172949198698e-22,1.0662440840709245e-45,1.0662440840709245e-45
0.008016032064128256,6.839513142674555e-23,5.2777226186740404e-24,2.3528741794607307e-46,2.3528741794607307e-46
0.01002004008016032,2.5087714439644133e-23,-2.0229193166439768e-23,5.193068359851311e-47,5.193068359851311e-47
0.012024048096192383,2.062799950761736e-24,-1.500294547022702e-23,1.1467175820973402e-47,1.1467175820973402e-47
0.014028056112224447,-4.129534389510139e-24,-5.8055439201750865e-24,2.5378697241614396e-48,2.5378697241614396e-48
0.01603206412825651,-3.2840772626520858e-24,-6.519015726014522e-25,5.605069563714331e-49,5.605069563714331e-49
0.018036072144288574,-1.3349419598653855e-24,8.307559307081133e-25,1.2361127263079702e-49,1.2361127263079702e-49
0.02004008016032064,-1.8898593962322952e-25,7.1063961189484e-25,2.703621716846619e-50,2.703621716846619e-50
0.022044088176352703,1.6438938523967516e-25,2.975102195869652e-25,5.776810036908129e-51,5.776810036908129e-51
0.024048096192384766,1.5062351739023623e-25,4.9045327454859915e-26,1.2546444068080615e-51,1.2546444068080615e-51
0.026052104208416832,6.757722418043885e-26,-2.558832605505135e-26,2.6107218291164553e-52,2.6107218291164553e-52
0.028056112224448895,1.0520999496177144e-26,-2.9566600900155433e-26,4.924376595938159e-53,4.924376595938159e-53
0.03006012024048096,-5.799127281679028e-27,-1.2930613237860537e-26,1.0041531796812409e-53,1.0041531796812409e-53
0.03206412825651302,-4.964642656904428e-27,-1.9865660668840038e-27,1.429706072442502e-54,1.429706072442502e-54
0.03406813627254509,-3.262724196517636e-27,1.2132836368700437e-27,6.058713183019126e-55,6.058713183019126e-55
0.03607214428857715,-2.132987914862244e-27,3.4255600043599794e-28,2.3334910291915456e-55,2.3334910291915456e-55
0.038076152304609215,2.0447226664817837e-28,3.902383872516131e-27,7.635204398151117e-55,7.635204398151117e-55
0.04008016032064128,2.1773619577780426e-27,-1.0597157913974696e-27,2.931951326858098e-55,2.931951326858098e-55
0.04208416833667334,-5.085820959359814e-27,-6.5218501472316e-27,3.420005208680421e-54,3.420005208680421e-54
0.044088176352705406,-2.8189696857582116e-27,-7.364995376683469e-27,3.1094873493896317e-54,3.1094873493896317e-54
0.04609218436873747,-5.812585948466431e-27,-2.397719277268113e-27,1.9767606570446263e-54,1.9767606570446263e-54
0.04809619238476953,1.8419083332886774e-27,3.6737299677851116e-27,8.444459092220337e-55,8.444459092220337e-55
0.0501002004008016,-9.2232533391683e-28,-8.777120100428738e-28,8.105311970791469e-56,8.105311970791469e-56
0.052104208416833664,-3.949606628550027e-27,6.596445871417675e-27,2.95562453274148e-54,2.95562453274148e-54
0.05410821643286573,4.633670303078109e-27,6.048625390262352e-27,2.902838479467719e-54,2.902838479467719e-54
0.05611222444889779,2.1184150329147393e-27,-3.581398182055238e-27,8.657047595053862e-55,8.657047595053862e-55
0.058116232464929855,5.540733642326135e-27,-1.3192267758712723e-28,1.5358566444033197e-54,1.5358566444033197e-54
0.06012024048096192,3.904631512689599e-27,-6.227465223709982e-27,2.7013735181202946e-54,2.7013735181202946e-54
0.06212424849699398,-2.265026103452408e-28,-2.7914852989244044e-27,3.92184680330214e-55,3.92184680330214e-55
0.06412825651302605,1.849532092755006e-27,5.752450987428789e-28,1.8758379428792084e-55,1.8758379428792084e-55
0.06613226452905811,1.4992079721440812e-27,-5.043412519880899e-27,1.3841817194715884e-54,1.3841817194715884e-54
