time,pi_cc_d,pi_cc_q,theta_pll,gamma_pll,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q
0.0,0.2515178727167332,0.06983522915522415,-0.000979603746903796,0.0,0.4976339107553488,-0.02000540475920631,0.9973891854258933,-0.039982398586593394,-0.5001550986564104,0.010003101973128216
0.002004008016032064,0.25151787271673537,0.0698352291553229,0.7545136193996409,-3.829804634969975e-9,0.4976339110618815,-0.02000540487662424,0.9973891867938479,-0.039982398521670896,-0.5001550989222238,0.01000310180358977
0.004008016032064128,0.25151787271666654,0.06983522915563525,1.510006842730941,-3.0788456012129336e-9,0.4976339106219486,-0.020005405002332066,0.997389185793645,-0.03998239850721152,-0.5001550984178624,0.010003101667627436
0.0060120240480961915,0.2515178727165732,0.06983522915606885,2.2655000660593965,-2.4339548567266366e-9,0.49763391019751985,-0.02000540507129431,0.9973891848257244,-0.03998239849116953,-0.5001550979507622,0.010003101586092928
0.008016032064128256,0.2515178727164656,0.06983522915656672,3.0209932893853164,-1.882378502435943e-9,0.49763390980678474,-0.02000540509882828,0.9973891839242544,-0.039982398474501545,-0.5001550975338939,0.010003101544497312
0.01002004008016032,0.2515178727163514,0.06983522915708755,3.776486512708982,-1.4126773582549028e-9,0.4976339094647002,-0.02000540509692093,0.9973891831180027,-0.03998239845823735,-0.5001550971780555,0.01000310153178812
0.012024048096192383,0.25151787271623643,0.06983522915760211,4.531979736030648,-1.0146429174496555e-9,0.4976339091831005,-0.020005405074956868,0.99738918243028,-0.039982398443391146,-0.5001550968917143,0.010003101539539686
0.014028056112224447,0.2515178727161249,0.06983522915809043,5.287472959350546,-6.791835312687802e-10,0.497633908970772,-0.02000540504019082,0.9973891818790425,-0.03998239843094,-0.5001550966810262,0.010003101561454742
0.01603206412825651,0.25151787271601994,0.06983522915853942,6.04296618266888,-3.9821878080206445e-10,0.4976339088334755,-0.02000540499820538,0.9973891814768799,-0.03998239842178979,-0.5001550965498108,0.010003101592868054
0.018036072144288574,0.2515178727159235,0.06983522915894134,6.798459405985835,-1.6455705159189352e-10,0.49763390877412345,-0.020005404953247048,0.9973891812310867,-0.03998239841671402,-0.5001550964994365,0.010003101630356209
0.02004008016032064,0.2515178727158371,0.06983522915929223,7.553952629301582,2.8134813485295576e-11,0.4976339087928004,-0.020005404908517724,0.9973891811436794,-0.0399823984163434,-0.5001550965288174,0.010003101671427895
0.022044088176352703,0.25151787271574955,0.06983522915960179,8.30944585261649,1.9086846194509122e-10,0.497633908890369,-0.020005404864117022,0.9973891812128897,-0.03998239842245652,-0.5001550966322584,0.0100031017178523
0.024048096192384766,0.2515178727156824,0.06983522915984515,9.064939075930058,3.1317097887648414e-10,0.49763390905160787,-0.020005404825217368,0.9973891814254984,-0.039982398431410694,-0.5001550968088796,0.010003101761053373
0.026052104208416832,0.25151787271562664,0.0698352291600401,9.820432299242956,4.1316965792411107e-10,0.4976339092765565,-0.02000540479250585,0.9973891817727097,-0.039982398446315834,-0.5001550970466877,0.010003101803560037
0.028056112224448895,0.2515178727155817,0.06983522916018997,10.575925522555174,4.917334541166192e-10,0.4976339095524277,-0.02000540476561166,0.9973891822339744,-0.03998239846629782,-0.500155097334933,0.010003101845102941
0.03006012024048096,0.2515178727155468,0.0698352291602983,11.33141874586678,5.514561288308196e-10,0.4976339098654944,-0.020005404744297614,0.9973891827849782,-0.03998239849039598,-0.500155097660001,0.010003101885217032
0.03206412825651302,0.2515178727155217,0.06983522916036897,12.086911969177843,5.951347928360884e-10,0.4976339101995556,-0.02000540472819983,0.9973891833963545,-0.039982398517460785,-0.5001550980056909,0.010003101923404244
0.03406813627254509,0.25151787271550535,0.06983522916040594,12.842405192488439,6.253208880140569e-10,0.4976339105357749,-0.020005404716654115,0.9973891840335299,-0.039982398545980596,-0.5001550983532275,0.010003101959137652
0.03607214428857715,0.25151787271549714,0.06983522916041306,13.59789841579863,6.441448858531282e-10,0.4976339108526923,-0.020005404708670127,0.9973891846567342,-0.039982398574018405,-0.500155098681257,0.010003101991825592
0.038076152304609215,0.2515178727154964,0.06983522916039413,14.353391639108477,6.535669237277703e-10,0.49763391112623345,-0.02000540470295592,0.9973891852210014,-0.03998239859916496,-0.5001550989658364,0.010003102020737247
