bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,t1,100.0604348989498,-9.974940966665067e-9,0.0,100.06043488898939
santiago,t1,-50.0,-9.9749409666714e-9,50.0,-100.00000000998499
