time,pi_cc_d,pi_cc_q,theta_pll,gamma_pll,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q
0.0,0.22470868589289822,0.016352134589081413,-0.000979603746903796,0.0,-0.3953043949435131,0.06488719459059546,0.9826846255253947,-0.09973092667208823,-0.5001550986564104,0.010003101973128216
0.002004008016032064,0.2247086858929837,0.016352134589094555,0.7545136193978366,-3.87234165862231e-9,-0.39530439564016207,0.06488719430269567,0.9826846274733333,-0.09973092838146175,-0.5001550990265305,0.01000310200451458
0.004008016032064128,0.22470868589295057,0.01635213458938466,1.5100068427294664,-3.1109398694970763e-9,-0.3953043952017105,0.06488719427555169,0.9826846263525527,-0.099730925745051,-0.5001550984348441,0.0100031019098929
0.0060120240480961915,0.2247086858928552,0.016352134589576586,2.2655000660581277,-2.4594551857351634e-9,-0.39530439458426436,0.06488719434352537,0.9826846243011743,-0.09973092634217749,-0.5001550981918503,0.010003101799947763
0.008016032064128256,0.22470868589282927,0.016352134589824617,3.020993289383967,-1.9087364710158758e-9,-0.3953043944838362,0.06488719444273677,0.9826846238994253,-0.09973092656272382,-0.5001550975904795,0.010003101617568885
0.01002004008016032,0.2247086858927689,0.016352134590108647,3.7764865127080505,-1.4276403266463274e-9,-0.39530439419887564,0.06488719415900651,0.9826846231725788,-0.09973092640957999,-0.5001550971948981,0.010003101776222587
0.012024048096192383,0.2247086858927076,0.016352134590388333,4.531979736029785,-1.0271491566246406e-9,-0.3953043937858914,0.0648871941508809,0.9826846226286092,-0.09973092634477419,-0.500155097001905,0.010003101746308637
0.014028056112224447,0.22470868589263773,0.016352134590668508,5.2874729593497225,-6.90168694002341e-10,-0.39530439359413666,0.06488719418052612,0.982684622079795,-0.0997309262241224,-0.5001550967521068,0.010003101712765495
0.01603206412825651,0.22470868589256496,0.01635213459092981,6.042966182668161,-4.061865742545561e-10,-0.39530439343596097,0.06488719415460185,0.9826846217053227,-0.09973092627672635,-0.5001550966032545,0.010003101734455979
0.018036072144288574,0.22470868589249463,0.016352134591177875,6.798459405985189,-1.70409029644153e-10,-0.3953043933226193,0.06488719415432774,0.9826846215707803,-0.09973092626646088,-0.5001550965383305,0.010003101747223431
0.02004008016032064,0.22470868589242024,0.01635213459140774,7.553952629301011,2.4510422522297758e-11,-0.39530439326358635,0.06488719416399485,0.9826846215206981,-0.09973092624408768,-0.5001550965530713,0.010003101768347435
0.022044088176352703,0.22470868589195864,0.016352134592132802,8.309445852612715,1.0834898537261955e-10,-0.3953043979019114,0.06488719804460542,0.9826846116125068,-0.09973091939735823,-0.5001550928579956,0.010003099438967664
0.024048096192384766,0.22470868589210738,0.016352134591543242,9.064939075931647,3.633142396715935e-10,-0.3953043940293117,0.0648871926515143,0.9826846203942682,-0.09973093533669773,-0.5001550966543065,0.01000310300295658
0.026052104208416832,0.22470868589233384,0.016352134592150566,9.820432299242542,4.13769426106054e-10,-0.3953043935461503,0.06488719389808502,0.9826846274429527,-0.09973092489068185,-0.5001550967379144,0.01000310188375186
0.028056112224448895,0.22470868589190174,0.01635213459230087,10.575925522555872,5.197937245907908e-10,-0.3953043928711064,0.06488719382902461,0.9826846210158718,-0.09973092437932264,-0.5001550976564773,0.010003102349407586
0.03006012024048096,0.22470868589187956,0.016352134592271646,11.331418745865859,5.385033287803843e-10,-0.3953043934664025,0.06488719511085883,0.9826846227220729,-0.09973092720142672,-0.5001550977714309,0.010003101354836248
0.03206412825651302,0.22470868589180995,0.016352134592409882,12.086911969177823,6.043208780011346e-10,-0.3953043944274797,0.06488719442066074,0.9826846237474007,-0.09973092658719998,-0.5001550974564134,0.010003101914473457
0.03406813627254509,0.2247086858917213,0.01635213459246938,12.842405192488776,6.42925999646818e-10,-0.39530439399436873,0.06488719422345164,0.9826846244072307,-0.09973092678311118,-0.5001550982392113,0.010003102123588901
0.03607214428857715,0.22470868589164808,0.01635213459254227,13.597898415798621,6.525782546872905e-10,-0.3953043941852411,0.06488719461331541,0.9826846249220832,-0.09973092641743864,-0.5001550984940079,0.010003101890948595
0.038076152304609215,0.22470868589155818,0.016352134592578046,14.353391639108617,6.651910317334519e-10,-0.3953043944529434,0.06488719460283561,0.9826846249976631,-0.09973092664662364,-0.5001550986476585,0.010003101963200423
0.04008016032064128,0.22470868589149784,0.016352134592598804,15.108884862418206,6.672855138100202e-10,-0.3953043945386742,0.06488719461182729,0.9826846254882871,-0.09973092683632821,-0.5001550988166628,0.010003101982339595
0.04208416833667334,0.22470868589143622,0.016352134592621557,15.864378085727553,6.636203628923896e-10,-0.3953043947688761,0.06488719462757048,0.9826846260617957,-0.09973092674304164,-0.5001550990768212,0.01000310200878686
0.044088176352705406,0.2247086858913843,0.01635213459262588,16.619871309036647,6.536722882667332e-10,-0.39530439570503095,0.06488719475701765,0.9826846281123881,-0.09973092691391158,-0.500155100085465,0.01000310200707916
0.04609218436873747,0.22470868589059093,0.016352134592735136,17.37536453234752,6.889657700122911e-10,-0.3953043888475015,0.0648871950954237,0.9826846151186654,-0.09973092629830742,-0.5001551065047196,0.010003102647293103
0.04809619238476953,0.2247086858913868,0.016352134592586304,18.130857755647813,4.60259196466168e-10,-0.39530439915201093,0.06488720021490503,0.9826846317050002,-0.09973093029233449,-0.5001550995569295,0.010003097927045021
0.0501002004008016,0.22470868589110224,0.01635213459272851,18.886350978966046,6.814082639941914e-10,-0.39530439954553614,0.06488719242054844,0.9826846301619034,-0.09973092817903122,-0.5001550994810918,0.010003103946634815
