time,pi_cc_d,pi_cc_q,theta_pll,gamma_pll,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q,i_load,x_oc,v_dc
0.0,0.22470868589289822,0.016352134589081413,-0.000979603746903796,0.0,-0.3953043949435131,0.06488719459059546,0.9826846255253947,-0.09973092667208823,-0.5001550986564104,0.010003101973128216,0.3743104112341561,-0.5001550986564106,1.05
0.002004008016032064,0.22470868589299306,0.016352134589100856,0.7545136193477584,-5.059173110826737e-9,-0.39530439603390466,0.06488719431177438,0.9826846284826323,-0.09973092857675442,-0.5001550994888485,0.010003101998689224,0.3743104112341561,-0.5001550986563403,1.050000000000716
0.004008016032064128,0.2247086858929615,0.01635213458944262,1.5100068426865194,-4.066006835792164e-9,-0.39530439557332486,0.06488719427157044,0.9826846273533141,-0.09973092572764686,-0.5001550988909365,0.010003101884427,0.3743104112341561,-0.5001550986563048,1.0500000000010998
0.0060120240480961915,0.2247086858928589,0.016352134589692133,2.2655000660214006,-3.21623172330103e-9,-0.3953043949256873,0.06488719434712062,0.9826846251548425,-0.0997309263680041,-0.5001550986356559,0.01000310175122593,0.3743104112341561,-0.500155098656293,1.0500000000013414
0.008016032064128256,0.2247086858928269,0.016352134590009865,3.0209932893526616,-2.496399895381365e-9,-0.3953043948255547,0.06488719444821432,0.9826846247081618,-0.09973092662114175,-0.5001550979752369,0.01000310154997303,0.3743104112341561,-0.5001550986563199,1.049999999998357
0.01002004008016032,0.2247086858927544,0.016352134590371558,3.7764865126815113,-1.870441010998151e-9,-0.3953043945102761,0.06488719413503415,0.9826846238922398,-0.09973092645866638,-0.5001550975233663,0.010003101719984094,0.3743104112341561,-0.500155098656385,1.0499999999962293
0.012024048096192383,0.22470868589267673,0.016352134590730615,4.531979736007373,-1.3478092138867258e-9,-0.39530439404361806,0.06488719412054993,0.9826846232376081,-0.09973092638206836,-0.5001550972775497,0.010003101687954992,0.3743104112341561,-0.5001550986564925,1.0499999999938499
0.014028056112224447,0.22470868589258564,0.016352134591089584,5.287472959330885,-9.080061128027051e-10,-0.39530439380641524,0.06488719414860855,0.9826846225506278,-0.09973092624614388,-0.5001550969583942,0.0100031016518432,0.3743104112341561,-0.5001550986566463,1.0499999999916458
0.01603206412825651,0.22470868589248805,0.01635213459142615,6.042966182652428,-5.377028306894477e-10,-0.39530439359852326,0.06488719411578452,0.9826846220325376,-0.09973092629535994,-0.5001550967374284,0.01000310167646485,0.3743104112341561,-0.5001550986568447,1.0499999999893312
0.018036072144288574,0.2247086858923899,0.016352134591745268,6.798459405972139,-2.3009859577031105e-10,-0.3953043934318914,0.06488719410950884,0.9826846217579205,-0.09973092627421973,-0.5001550965999499,0.010003101692406244,0.3743104112341561,-0.5001550986570874,1.0499999999869423
0.02004008016032064,0.2247086858922846,0.016352134592040837,7.553952629290278,2.4142229472495506e-11,-0.39530439331881034,0.06488719411397763,0.9826846215633431,-0.0997309262376937,-0.5001550965438147,0.010003101717282062,0.3743104112341561,-0.5001550986573727,1.049999999984779
0.022044088176352703,0.2247086858921768,0.01635213459230732,8.30944585260701,2.3171585257395251e-10,-0.39530439326523126,0.06488719414173837,0.982684621519614,-0.09973092624953568,-0.5001550965659445,0.010003101735556387,0.3743104112341561,-0.5001550986576987,1.0499999999827165
0.024048096192384766,0.22470868589206774,0.016352134592545732,9.064939075922533,3.9965331149368467e-10,-0.3953043932779581,0.0648871941744367,0.9826846216274742,-0.09973092626944999,-0.5001550966537002,0.01000310175940044,0.3743104112341561,-0.5001550986580625,1.049999999980782
