time,v_bus_D,v_bus_Q
0.0,0.9996894192167908,-0.0009792998140579162
0.002004008016032064,0.9996888128116955,-0.0009792924133297273
0.004008016032064128,0.9996888392733306,-0.000979291815279822
0.0060120240480961915,0.9996888674224387,-0.0009792913740828597
0.008016032064128256,0.9996888973774962,-0.000979290971368
0.01002004008016032,0.9996889291053468,-0.0009792906012987385
0.012024048096192383,0.9996889625426447,-0.0009792902938421733
0.014028056112224447,0.9996889976195459,-0.000979290089599679
0.01603206412825651,0.9996890342612281,-0.0009792900243437317
0.018036072144288574,0.9996890723922597,-0.000979290120632949
0.02004008016032064,0.9996891119308078,-0.0009792903844586859
0.022044088176352703,0.9996891527914615,-0.0009792908080493376
0.024048096192384766,0.99968919488239,-0.000979291377248225
0.026052104208416832,0.9996892381025795,-0.0009792920766150779
0.028056112224448895,0.9996892823468131,-0.0009792928968724952
0.03006012024048096,0.999689327501916,-0.0009792938354079212
0.03206412825651302,0.9996893734509371,-0.000979294897007994
0.03406813627254509,0.9996894200711847,-0.0009792960895583017
0.03607214428857715,0.9996894672365991,-0.0009792974209704246
0.038076152304609215,0.9996895148157567,-0.0009792988957772913
0.04008016032064128,0.9996895626733535,-0.0009793005138967782
0.04208416833667334,0.9996896106691635,-0.0009793022703727342
0.044088176352705406,0.9996896586568428,-0.0009793041565108703
0.04609218436873747,0.9996897064852046,-0.000979306162093947
0.04809619238476953,0.9996897539961932,-0.0009793082767472453
0.0501002004008016,0.9996898010273929,-0.0009793104910993734
0.052104208416833664,0.999689847411116,-0.0009793127972375756
0.05410821643286573,0.9996898929735246,-0.0009793151872509022
0.05611222444889779,0.9996899375372685,-0.0009793176533281235
0.058116232464929855,0.9996899809189924,-0.0009793201860543172
0.06012024048096192,0.9996900229307201,-0.000979322773819788
0.06212424849699398,0.9996900633795884,-0.0009793254031412492
0.06412825651302605,0.9996901020674269,-0.0009793280580467781
0.06613226452905811,0.9996901387905724,-0.000979330721042601
0.06813627254509018,0.9996901733404314,-0.0009793333734889336
0.07014028056112225,0.9996902055029325,-0.0009793359955232032
0.0721442885771543,0.9996902350593996,-0.0009793385672771458
0.07414829659318636,0.999690261785389,-0.0009793410671930585
0.07615230460921843,0.9996902854513268,-0.0009793434731631564
0.0781563126252505,0.9996903058233467,-0.0009793457614928793
0.08016032064128256,0.9996903226614718,-0.000979347907092523
0.08216432865731463,0.999690335721803,-0.0009793498829971726
0.08416833667334668,0.9996903447546096,-0.0009793516603043401
0.08617234468937875,0.9996903495050363,-0.0009793532086125485
0.08817635270541081,0.9996903497133185,-0.000979354495741141
0.09018036072144288,0.9996903451150462,-0.0009793554883152488
0.09218436873747494,0.9996903354395875,-0.0009793561511470465
0.09418837675350701,0.9996903204126414,-0.000979356447469821
0.09619238476953906,0.9996902997535301,-0.0009793563391690334
0.09819639278557113,0.9996902731775719,-0.0009793557863667982
0.1002004008016032,0.8392769505421208,0.004621763340294031
0.10220440881763526,0.9306425466829391,0.0050846003248991465
0.10420841683366733,0.9557117406522744,-0.05872777875861281
0.1062124248496994,0.9541316756040746,-0.03899582565895994
0.10821643286573146,0.9489972578944754,-0.04211049671068141
0.11022044088176351,0.9467995710744767,-0.04140736996081347
0.11222444889779558,0.9462090476945989,-0.04040740771833722
0.11422845691382764,0.9463193728483626,-0.03989004364800204
0.11623246492985971,0.9465484334616924,-0.03981119571666753
0.11823647294589178,0.9466830447425972,-0.03992681676035028
0.12024048096192384,0.9467225018829233,-0.04006214935950955
0.1222444889779559,0.9467140824657316,-0.040147112592339045
0.12424849699398796,0.9467028339052926,-0.04017477108427726
0.12625250501002003,0.946699882846738,-0.04016787679812877
0.1282565130260521,0.9466892714220522,-0.04015144825821195
0.13026052104208416,0.9466862025377825,-0.04013993656222205
0.13226452905811623,0.9466783472326007,-0.04014742258307368
0.1342685370741483,0.9466701472109417,-0.04017320255160873
0.13627254509018036,0.946663319042522,-0.04021320192488696
0.13827655310621242,0.9466548791767155,-0.0402620092821413
0.1402805611222445,0.9466474091843246,-0.040310931973640315
0.14228456913827653,0.9466379506586464,-0.040355221441875797
0.1442885771543086,0.946635413855354,-0.040389582021988446
0.14629258517034066,0.9466299912808612,-0.0404176711254575
0.14829659318637273,0.9466203411254449,-0.04044256828926132
0.1503006012024048,0.9466177440564186,-0.04046527089205506
0.15230460921843686,0.9466196110214772,-0.04049202109341444
0.15430861723446893,0.9466023757298065,-0.04052273542599565
0.156312625250501,0.9465889573977395,-0.04055904365673284
0.15831663326653306,0.9465802546708929,-0.04059751204012114
0.16032064128256512,0.9465715792803148,-0.040636995655684786
0.1623246492985972,0.9465793328636222,-0.040675258252993535
0.16432865731462926,0.946560965549134,-0.04071145159775535
0.16633266533066132,0.9465642492228353,-0.04074650267361904
0.16833667334669336,0.9465456190601923,-0.040778494175050715
0.17034068136272543,0.9465310602810285,-0.040810984346298956
0.1723446893787575,0.9465300635570827,-0.0408418212136572
0.17434869739478956,0.9465219303281228,-0.04087404759303775
0.17635270541082163,0.9465255153940105,-0.040907919422315996
0.1783567134268537,0.9465052889349912,-0.040940697078839856
0.18036072144288576,0.9465093083317068,-0.040975441805297455
0.18236472945891782,0.9464807155365457,-0.041008595314341714
0.1843687374749499,0.9464725516985801,-0.04104113388278567
0.18637274549098196,0.946473323402214,-0.04107193266309717
0.18837675350701402,0.9464782875983201,-0.041103454321265304
0.1903807615230461,0.9464580073531991,-0.04113179262912433
0.19238476953907813,0.9464424918812948,-0.0411608489384822
0.1943887775551102,0.9464443340750006,-0.041189177005914464
0.19639278557114226,0.9464276205953546,-0.04121654658546609
0.19839679358717432,0.9464303960510938,-0.0412444384518899
0.2004008016032064,0.9464213992635582,-0.0412714627657577
0.20240480961923846,0.9464143908209735,-0.041297876575375966
0.20440881763527052,0.9464103714127661,-0.04132374524816684
0.2064128256513026,0.9464035392273309,-0.041348442235855966
0.20841683366733466,0.9463948671604017,-0.041372364009956024
0.21042084168336672,0.9463801691359317,-0.04139432232937254
0.2124248496993988,0.9463743581770294,-0.04141646382281016
0.21442885771543085,0.9463763349128821,-0.04143878263491441
0.21643286573146292,0.9463706080585658,-0.04145941186685124
0.21843687374749496,0.9463579834214274,-0.041478343533202
0.22044088176352702,0.9463529231368191,-0.04149752740663665
0.2224448897795591,0.9463546007166895,-0.04151692047600018
0.22444889779559116,0.9463434285425212,-0.04153354243359676
0.22645290581162322,0.9463390174463451,-0.0415503433191963
0.2284569138276553,0.946343730572504,-0.041567598611151155
0.23046092184368736,0.9463364279005706,-0.041582503379422896
0.23246492985971942,0.9463356333214556,-0.041597149345300614
0.2344689378757515,0.9463236086281842,-0.04160918289505695
0.23647294589178355,0.9463203019310694,-0.04162188419430403
0.23847695390781562,0.9463172126371571,-0.04163383730556399
0.24048096192384769,0.9463212675179841,-0.04164657761086329
0.24248496993987975,0.9463181817919387,-0.04165704688717508
0.2444889779559118,0.9463124017534056,-0.041666251947368144
0.24649298597194386,0.9463069961893491,-0.041674166901409675
0.24849699398797592,0.9463049914992758,-0.04168240235113855
0.250501002004008,0.9463076029090076,-0.04169141430978828
0.25250501002004005,0.9463057389812959,-0.04169830032650062
0.2545090180360721,0.9463038419694325,-0.04170439979704834
0.2565130260521042,0.9462990030227758,-0.041708222548258955
0.25851703406813625,0.9463003853187473,-0.04171449037027594
0.2605210420841683,0.9462974171560664,-0.04171798383028137
0.2625250501002004,0.9462965593281769,-0.04172058066849142
0.26452905811623245,0.9462961222746539,-0.04172346650907685
0.2665330661322645,0.9462960583622738,-0.041727254186550336
0.2685370741482966,0.9462955821912965,-0.04172901894609417
0.27054108216432865,0.9462950832015782,-0.04173014106697079
0.2725450901803607,0.946296061740576,-0.041729183241958186
0.2745490981963928,0.9462964527260928,-0.04172922789348127
0.27655310621242485,0.9462969955862712,-0.041728774162224744
0.2785571142284569,0.9462976799066418,-0.041727826799775665
0.280561122244489,0.9462946466045102,-0.041727785694138764
0.282565130260521,0.9462951602800546,-0.04172594351258778
0.28456913827655306,0.9462956458635373,-0.04172360261582497
0.2865731462925851,0.946301740162128,-0.04171948928061871
0.2885771543086172,0.9463030612317415,-0.04171634889785958
0.29058116232464926,0.9463044919396616,-0.04171283743178533
0.2925851703406813,0.9462986992046553,-0.041710198094618026
0.2945891783567134,0.9462997425073996,-0.04170594110031344
0.29659318637274545,0.9463008639375731,-0.04170134951227792
0.2985971943887775,0.9463020711215098,-0.0416964460413487
0.3006012024048096,0.9463033603904998,-0.041691249510359504
0.30260521042084165,0.9463047268676222,-0.0416857789094329
0.3046092184368737,0.9463061653143638,-0.04168005254664493
0.3066132264529058,0.946307670533245,-0.04167408806481428
0.30861723446893785,0.9463092374603093,-0.04166790259542687
0.3106212424849699,0.9463148651393098,-0.04166057080881899
0.312625250501002,0.9463256991012491,-0.04165417700235579
0.31462925851703405,0.94632798073997,-0.041647484913569524
0.3166332665330661,0.9463159261353659,-0.04164124937158288
0.3186372745490982,0.9463178244339409,-0.04163424181169327
0.32064128256513025,0.9463196653604029,-0.041627080180533016
0.3226452905811623,0.9463373816008026,-0.04161935816713938
0.3246492985971944,0.9463397860987521,-0.04161205381247678
0.32665330661322645,0.9463421982588139,-0.041604680303833796
0.3286573146292585,0.9463446129679638,-0.041597243423143214
0.3306613226452906,0.9463291237294039,-0.04158991571714275
0.33266533066132264,0.9463311494273543,-0.041582351765993605
0.33466933867735466,0.9463331099492266,-0.041574742490176585
0.3366733466933867,0.9463542305147148,-0.0415671411182384
0.3386773547094188,0.9463566118194344,-0.04155958838421563
0.34068136272545085,0.9463589713969602,-0.0415520557913288
0.3426853707414829,0.9463409063710995,-0.04154430589537088
0.344689378757515,0.9463428629242976,-0.041536773174294224
0.34669338677354705,0.9463534430085595,-0.04152860611933007
0.3486973947895791,0.9463681344343974,-0.041522282411255676
0.3507014028056112,0.9463703437111939,-0.041514976665040754
0.35270541082164325,0.9463725134043383,-0.04150775365719313
0.3547094188376753,0.9463746400210328,-0.0415006142382242
0.3567134268537074,0.9463541087129108,-0.041492840458652945
0.35871743486973945,0.9463559263910964,-0.04148583886998014
0.3607214428857715,0.9463678399528135,-0.041478459742817934
0.3627254509018036,0.9463826762521532,-0.041473067521770664
0.36472945891783565,0.9463611010066477,-0.041465479128892
0.3667334669338677,0.9463628161218889,-0.04145895734820818
0.3687374749498998,0.9463644604713596,-0.04145256495173941
0.37074148296593185,0.946389846215247,-0.04144746233134185
0.3727454909819639,0.9463914918170624,-0.04144140752011734
0.374749498997996,0.9463930740517819,-0.04143550577835994
0.37675350701402804,0.9463706375337967,-0.04142843135427447
0.3787575150300601,0.9463960347529993,-0.04142415867285093
0.3807615230460922,0.946373491062349,-0.04141731718064587
0.38276553106212424,0.9463748942805575,-0.04141200816745749
0.38476953907815625,0.9463999759202212,-0.04140835492247822
