bus,timepoint,active_load_shedding_MW,reactive_load_shedding_MVAR
lima,timepoint_1,-9.974940957991387e-9,-9.9749409401165e-9
canberra,timepoint_1,-9.974940974243445e-9,-9.974940934458052e-9
