bus,timepoint,generator_dispatch_MVAR,load_shedding_MVAR,load_MVAR,net_line_leaving_flow_MVAR
lima,timepoint_1,-36.4444057047441,-9.9749409401165e-9,0.0,-36.444405714720205
canberra,timepoint_1,50.42029407376477,-9.974940934458052e-9,0.0,50.420294063815376
