time,angle_pc,w_pc,p_pc,q_pc,gamma,i_vsc_a,i_vsc_b,i_vsc_c,v_sh_a,v_sh_b,v_sh_c,i_bus_a,i_bus_b,i_bus_c,i_l_f,v_dc_f,i_dc_f,i_load_f,x_1,x_2,i_L,v_dc,i_load,soc
0.0,-0.2233523924075243,1.0,-0.7808077594991666,0.1179482700055562,0.888173128764158,-0.7640461286072499,1.5696298891070821,-0.8055837604998328,1.3772802112412843,-0.8871683714700573,-0.4901118397712271,-1.131014845191197,0.5802074229194473,0.5508074222717496,-0.6873840490505047,1.05,-0.6273257376430974,0.3,-0.36005831140740724,0.5238095238095238,-0.6873840490505047,1.05,0.3,0.125
0.004008016032064128,1.2876340542089628,0.9999999999999377,-0.7808077598986166,0.1179482717102804,0.8881731287628701,-1.4145484746753478,0.11776229898655582,1.2967861756888404,0.31115665738622417,1.0231817067493432,-1.3343383641355746,-0.084549283846242,-0.9345828702068316,1.019132154053045,-0.687384049122969,1.049999999995684,-0.6273257374397352,0.3,-0.3600583114075789,0.5238095238138799,-0.6873840472734198,1.0499999999566476,0.3,0.12362247685503087
0.008016032064128256,2.7986205008258223,1.0000000000003666,-0.7808077587229951,0.1179482699538653,0.888173128775817,0.5949390400585571,-1.5555515939519495,0.9606125538934744,-1.34008192417894,1.0094881727590612,0.3305937514198911,1.1209071182578922,-0.6919353665366679,-0.4289717517212235,-0.6873840487072448,1.0500000000010927,-0.6273257374920757,0.3,-0.36005831140721234,0.5238095238057523,-0.6873840505059977,1.0499999999976135,0.3,0.12224495371330633
0.012024048096192383,4.309606947443536,1.000000000001174,-0.7808077597194797,0.11794826908290333,0.8881731287650751,1.4856724796376244,-0.30372607852067735,-1.1819464011169205,-0.4713613723152239,-0.9024989372501009,1.3738603095653277,0.21855199825147714,0.8518630459220219,-1.0704150441734583,-0.6873840489959981,1.0499999999893996,-0.627325737554492,0.3,-0.36005831140672195,0.5238095238092764,-0.6873840488877128,1.0499999999773222,0.3,0.12086743056770285
0.01603206412825651,5.820593394061466,1.0000000000013025,-0.780807760449051,0.11794827024305428,0.888173128753694,-0.417329202439036,1.5192416162966134,-1.1019124138575955,1.2837313913972348,-1.1173805210836438,-0.16635087031360193,-1.0947795564315557,0.7937742749238053,0.3010052815078205,-0.6873840486578153,1.0499999999785474,-0.6273257374444773,0.3,-0.3600583114054842,0.5238095238125745,-0.6873840472514517,1.0499999999796996,0.3,0.11948990742535193
0.02004008016032064,7.331579840679094,1.0000000000006286,-0.7808077583728261,0.11794827059736501,0.8881731287733883,-1.5355635574376727,0.4853490778533772,1.0502144795842434,0.6248294810010102,0.7689178332887404,-1.3937473142897685,-0.34943120245611503,-0.7569685695187964,1.10639977197495,-0.6873840487845018,1.0499999999752918,-0.6273257373650627,0.3,-0.36005831140382843,0.5238095238066818,-0.6873840493994673,1.0499999999432956,0.3,0.11811238428111569
0.024048096192384766,8.842566287296613,1.0000000000008316,-0.7808077591365807,0.11794826969072415,0.8881731287707845,0.2337549325326237,-1.4612188501814365,1.2274639176487439,-1.2090339762031905,1.2093034469107442,-0.0002694707075429764,1.0530055810706807,-0.884268687153464,-0.16873689391717223,-0.6873840487503821,1.049999999965512,-0.6273257372888078,0.3,-0.36005831140133404,0.5238095238073622,-0.6873840487553381,1.0499999999236258,0.3,0.11673486113745643
0.028056112224448895,10.353552733914496,1.0000000000013038,-0.7808077598857663,0.11794826998931669,0.8881731287585246,1.5635085939503508,-0.6600355224909903,-0.9034730714594459,-0.7693676203327252,-0.624347468420043,1.3937150887527885,0.47531639160347455,0.6512556072875078,-1.1265719988909773,-0.6873840485945174,1.0499999999553833,-0.627325737541167,0.3,-0.3600583113980968,0.5238095238071844,-0.6873840483787231,1.0499999999751843,0.3,0.11535733799456804
0.03206412825651302,11.864539180532397,1.000000000000884,-0.7808077607752926,0.11794827043641767,0.8881731287592621,-0.0468399038817328,1.382312650702221,-1.335472746820565,1.1170572806425654,-1.2839432380531601,0.1668859574106178,-0.9961822554476434,0.962125302484443,0.034056952963227444,-0.6873840487694741,1.049999999948008,-0.6273257372698382,0.3,-0.3600583113943697,0.523809523805366,-0.6873840487052937,1.0499999999000318,0.3,0.11397981485002201
0.03607214428857715,13.375525627150164,1.0000000000009188,-0.7808077594726329,0.11794827034374548,0.8881731287633261,-1.5691082792330866,0.8252888901346848,0.743819389098282,0.9029101199632283,0.4708540546704519,-1.3737641746336542,-0.5944084571038857,-0.5362350330835883,1.1306434901874456,-0.6873840486177004,1.0499999999389478,-0.6273257373165485,0.3,-0.36005831138982003,0.5238095238053276,-0.6873840482095253,1.0499999999139924,0.3,0.11260229170713008
