time,pi_cc_d,pi_cc_q,theta_pll,gamma_pll,i_vsc_a,i_vsc_b,i_vsc_c,v_sh_a,v_sh_b,v_sh_c,i_bus_a,i_bus_b,i_bus_c,int_vdc,v_dc,i_load
0.0,0.2460917358604301,0.05027341682388865,-0.0025073718408679824,0.0,0.28902721560349,-0.10880568169796613,-0.18022153390552376,1.408384007045068,-0.8051537105810788,-0.6032302964639888,-1.131014845191197,0.5802074229194469,0.5508074222717497,-0.7997758473835557,1.0,-0.3011698503147266
0.004008016032064128,0.246091735860513,0.05027341682474835,1.5084790747758765,7.590885556467569e-12,-0.023881856551589496,0.2639326862974059,-0.2400508297458695,0.2005571469583202,1.1112019228373526,-1.3117590697957042,-0.08454928548144255,-0.9345828542314105,1.0191321397128241,-0.7997758473835593,0.9999999999955084,-0.3011698503147266
0.008016032064128256,0.24609173585658373,0.05027341682479157,3.0194655213933923,3.2268390796827294e-11,-0.2918822534797073,0.14035842628668005,0.15152382719282434,-1.3844077095538958,0.9379961860111554,0.4464115235427065,1.1209071079393804,-0.691935360768479,-0.4289717471711324,-0.7997758473836823,1.0000000000015254,-0.3011698503147266
0.012024048096192383,0.24609173586080108,0.05027341682489499,4.530451968013044,1.0842288770142329e-10,-0.01101221617114869,-0.2471530572032424,0.25816527337416917,-0.3660609535926663,-0.9990659430255329,1.3651268966181946,0.21855200056393784,0.8518630639172609,-1.0704150644814276,-0.7997758473838772,0.9999999999910942,-0.3011698503147266
0.01603206412825651,0.24609173585819993,0.05027341682502867,6.0414384146312,1.4473439840468914e-10,0.2905657576222077,-0.16990519115852226,-0.12066056646393888,1.3406456685129948,-1.0574329598516703,-0.28321270866134274,-1.0947795387166144,0.7937742624981897,0.3010052762182117,-0.7997758473841182,0.9999999999953632,-0.3011698503147266
0.02004008016032064,0.24609173585531663,0.0502734168249828,7.552424861244552,6.112325836653425e-11,0.04574890305557455,0.22684115083841036,-0.272590053894254,0.5263330727402863,0.8726514582275305,-1.3989845309677762,-0.34943120404310996,-0.7569685698759312,1.1063997739187887,-0.799775847384406,0.9999999999975134,-0.3011698503147266
0.024048096192384766,0.2460917358599331,0.050273416825047844,9.06341130786605,1.80477893776e-10,-0.28509655690674884,0.19702370676543401,0.08807285014105783,-1.2777234070887957,1.1617571312456831,0.11596627584310777,1.0530056148855822,-0.8842687144432582,-0.1687369004425779,-0.7997758473847258,0.9999999999900681,-0.3011698503147266
0.028056112224448895,0.24609173585746913,0.050273416824963266,10.574397754476903,3.413181509898166e-11,-0.079831754423748,-0.20328726993241839,0.28311902435591957,-0.6790829202145405,-0.7337651814370548,1.4128481016515966,0.47531638971785084,0.6512556054009255,-1.1265719951190276,-0.7997758473850677,0.9999999999904996,-0.3011698503147266
0.03206412825651302,0.24609173585894517,0.05027341682486053,12.085384201094133,4.7965586346355465e-11,0.27555279486901696,-0.2213263879743936,-0.054226406894862154,1.1965400934976058,-1.249477631715754,0.05293753821815105,-0.9961822758450982,0.9621253217486323,0.03405695409621394,-0.799775847385428,0.9999999999871453,-0.3011698503147266
0.03607214428857715,0.24609173585837668,0.050273416824822593,13.596370647711048,5.3536160552532554e-11,0.11277366544460853,0.17682804427606771,-0.2896017097209204,0.8221274394667387,0.5843920687152925,-1.4065195081820328,-0.5944084407188155,-0.5362350163603825,1.130643457078956,-0.7997758473857919,0.9999999999868673,-0.3011698503147266
