time,pi_cc_d,pi_cc_q,theta_pll,gamma_pll,i_vsc_a,i_vsc_b,i_vsc_c,v_sh_a,v_sh_b,v_sh_c,i_bus_a,i_bus_b,i_bus_c
0.0,0.23265488986009902,0.08184292355395967,0.0,0.0,0.1308126979288191,-0.8161359275671618,0.6853232296383427,1.5145997993960403,-1.0208007806154293,-0.49379901878061044,-1.4142135623730951,0.08870989321682603,1.3255036691562685
0.01002004008016032,0.23265488563611186,0.08184292347463841,3.7774664097088757,3.8869292842572e-9,-0.6200867862386823,0.846749207174242,-0.22666242093264652,-1.3993025055917456,0.1326453453930727,1.2666571601986152,0.713748666615337,0.8680243666237577,-1.5817730332361624
0.02004008016032064,0.23265482334869186,0.08184289272750159,7.554932562570985,4.367754598174213e-9,0.8669499771007335,-0.5463883029642858,-0.32056167413502706,0.7369932777826098,0.8073595844631205,-1.544352862245375,0.2657335560281861,-1.4854681544220625,1.2197345983957062
0.03006012024048096,0.23265481815017608,0.08184288702549261,11.332398224329681,-1.66377183698273e-9,-0.7749135507962532,0.03243113704179015,0.7424824137552142,0.2133920775136442,-1.4317366141531618,1.218344536639474,-1.1413035806263692,1.522187869194492,-0.3808842885674548
0.04008016032064128,0.2326547918345493,0.08184286788906191,15.10986461034012,1.9098171954848262e-9,0.3800027525345512,0.49418849905486506,-0.8741912515887923,-1.0803364614681352,1.4964889826311898,-0.4161525211616316,1.5707580365501483,-0.9639497336247977,-0.606808302925698
0.0501002004008016,0.2326548009802593,0.08184286572215801,18.887330401428997,-2.4062449266235306e-9,0.163487655349789,-0.8276655584352123,0.664177903085374,1.5250552466153076,-0.9762992617632535,-0.5487559848520542,-1.3862721062791536,0.02890842919713421,1.3573636770819149
0.06012024048096192,0.2326547866277722,0.08184286294735685,22.66479766762334,1.2841813668902986e-8,-0.6430381743267363,0.8375665072076844,-0.1945283328834667,-1.3735679761418265,0.07440970468463168,1.299158271457759,0.6598227939173693,0.917472572700446,-1.57729536661978
0.07014028056112225,0.23265476299747742,0.08184284120392808,26.442262898178484,1.0907504370485047e-9,0.8712558546495026,-0.5200948213941021,-0.3511610332560987,0.685191579220324,0.8565341415603142,-1.5417257207804003,0.3245289172010246,-1.5052142347716027,1.180685317570112
0.08016032064128256,0.23265474001610048,0.08184282569510867,30.219728667575705,-3.5128923052272254e-9,-0.7588868217886511,-0.0006689669751148708,0.7595557887635956,0.2710197115533715,-1.4526268172558061,1.1816071057022604,-1.1819845836911753,1.5045227603670919,-0.32253817667588386
0.09018036072144288,0.23265471642811172,0.0818428090509991,33.99719498394799,-8.627337531628545e-10,0.34990601581256575,0.5211763759178265,-0.8710823917306338,-1.1212673409192087,1.4809401419184247,-0.35967280099921695,1.5774269983184899,-0.9157831903766018,-0.6616438079421613
