time,angle_pc,w_pc,p_pc,q_pc,gamma,i_vsc_a,i_vsc_b,i_vsc_c,v_sh_a,v_sh_b,v_sh_c,i_bus_a,i_bus_b,i_bus_c
0.0,0.5243240443824341,1.0,0.8183207610530043,0.6263413477576766,1.404296153289273,2.7206158796430095,-0.8442964045323719,-1.8763194751106365,1.7243554388239657,-0.24707789305603872,-1.4772775457679261,1.067286050884063,-0.7820648780263846,-0.28522117285767795
0.01002004008016032,4.30179015313422,0.999999997221769,0.8183271044848943,0.6263436649533664,1.4042960292677076,-1.8350138164882743,-0.8968879215544427,2.7319017380406,-0.9655246912500544,-0.8989744495551566,1.8644991408052534,-1.0290434310265,0.16547425438029148,0.8635691766439566
0.02004008016032064,8.079256250436188,0.9999999903177991,0.8183227152278253,0.6263420505962626,1.4042959895216443,0.23214117657059735,2.2875391712315314,-2.5196803478039334,-0.17071908771272373,1.6936706697169093,-1.5229515820041102,0.5885634658766081,0.5158222260088224,-1.1043856918873827
0.03006012024048096,11.856722335416082,0.9999999945323682,0.81832081672856,0.6263403380355939,1.4042960139322778,1.461479531136853,-2.783899476029585,1.3224199448911618,1.2402042031454406,-1.8262179991200527,0.5860137959748115,0.08199115762812181,-0.9954380019313122,0.9134468443016366
0.04008016032064128,15.63418842836602,0.9999999925298538,0.8183204735452232,0.6263394812220561,1.4042959493636489,-2.583807563977266,2.192116329733714,0.3916912342425586,-1.824908813332499,1.2449781301297793,0.5799306832026219,-0.7204804756133802,1.0859739302718314,-0.36549345465921124
0.0501002004008016,19.411654512508044,0.9999999920652792,0.8183282691027567,0.6263464229722683,1.4042959061927796,2.6961926813025325,-0.7434785133088033,-1.9527141679941997,1.696322098760751,-0.17709389375487317,-1.5192282050059025,1.077370154405246,-0.7520289580247306,-0.32534119638111597
0.06012024048096192,23.189120605519697,0.999999992326657,0.8183256006213201,0.626349116404658,1.404295833722644,-1.7546124036162603,-0.9958315126420495,2.7504439162582255,-0.9045890561684569,-0.9600586670386598,1.8646477232080982,-1.0131124175536264,0.12409060395980485,0.8890218135921917
0.07014028056112225,26.966586697110223,0.9999999907696544,0.8183264861861224,0.6263441134442591,1.4042958496575904,0.12716480834605684,2.3458816537723854,-2.473046462118773,-0.24072885311393888,1.7219353913079607,-1.4812065381939852,0.5528195357450494,0.5523684644646648,-1.1051880002100682
0.08016032064128256,30.744052786733697,0.9999999951902921,0.8183178631700795,0.6263382866730552,1.4042959350913862,1.5499917231273204,-2.778908365749887,1.2289166426227491,1.2919237707527675,-1.8106603278499407,0.5187365570972267,0.12355433117307724,-1.0128570703751913,0.8893027392020102
0.09018036072144288,34.5215188836372,0.9999999944662566,0.8183173944112934,0.6263376319332223,1.4042958759561346,-2.6212521493824834,2.1256958666892545,0.49555628269395735,-1.838120734743467,1.1916614713822058,0.6464592633610952,-0.7516158651187105,1.0774603630714648,-0.3258444979517951
0.1002004008016032,38.29898497263181,0.9999999925764921,0.8183280424143505,0.6263470006625941,1.404295804205389,2.66788168312021,-0.6415812068866602,-2.0263004762328145,1.6658381290502073,-0.10685813232857022,-1.5589799967216085,1.0858930379794536,-0.7209026621972954,-0.3649903757813164
0.11022044088176353,42.07645107101237,0.9999999934004312,0.8183260423693113,0.6263496413832395,1.404295740942589,-1.6716657683241223,-1.0933369864207187,2.765002754744986,-0.8423494592329495,-1.0197419638277763,1.8620914230610943,-0.9957027750220004,0.08252919520492448,0.913173579817165
