time,angle,w,q_f,z_vc_d,z_vc_q,z_cc_d,z_cc_q,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q,p_sh,q_sh
0.0,-0.10212153653864303,1.0,0.04005103695221772,-0.0009485724835955883,-0.008109693717324354,0.9857332395646088,0.0001232093552425706,-0.39983582990362865,0.02464187104851061,0.9877324187141269,0.0,-0.4986090717750412,-0.04054846858662178,-0.49249234445716716,0.040051036952217726
0.002004008016032064,0.6533716867781622,0.9999999999952927,0.04005110379362248,-0.0009486012673442007,-0.008109700005302603,0.9857332361563068,0.00012320919079932625,-0.39983525655529834,0.024641825683621648,0.9877313078407098,-2.443693798582071e-8,-0.49860853447502285,-0.04054849533990288,-0.49249125886667294,0.04005103051752104
0.004008016032064128,1.4088649100680837,0.9999999999526702,0.04005110754006465,-0.0009485774271724071,-0.008109699662138172,0.9857332349202453,0.00012321212285701301,-0.39983494611919135,0.024641773386908043,0.9877315043812919,-9.612112861964265e-9,-0.4986087526240482,-0.04054852226777892,-0.4924915729372736,0.04005105769267519
0.0060120240480961915,2.1643581333338626,0.9999999998838389,0.04005120047736305,-0.0009486025322028894,-0.00810970652297523,0.9857332309678664,0.0001232093000634782,-0.39983485900522336,0.024641628261465705,0.9877318518936158,4.062179399737835e-9,-0.4986089234006733,-0.040548647593063675,-0.49249191544594495,0.04005118875343949
0.008016032064128256,2.919851356573346,0.99999999990933,0.040051118102502066,-0.0009485780273481395,-0.008109709143721625,0.985733227347064,0.00012321214629743566,-0.399835074729726,0.024641678398209257,0.9877326978145915,-7.115874243178643e-8,-0.4986094337764515,-0.0405485613299443,-0.4924928382944357,0.04005117535534658
0.01002004008016032,3.675344579862719,1.0000000000129012,0.040051057111610194,-0.0009486261666943763,-0.00810969390574307,0.9857332228631047,0.00012321577708518256,-0.39983615511286913,0.024641767869265082,0.9877337109918678,-4.107076122939737e-8,-0.49860976283629993,-0.0405485259661183,-0.49249366971771474,0.040051166506046655
0.012024048096192383,4.43083780321202,1.0000000001069747,0.04005102534153501,-0.0009486743360293214,-0.008109677351398508,0.9857332193329952,0.00012321949395708087,-0.3998369892926161,0.024641907007711204,0.9877339275398668,-3.228586466993653e-8,-0.4986097042967677,-0.040548475125137505,-0.4924937202253954,0.040051120689150094
0.014028056112224447,5.186331026599433,1.0000000001451321,0.0400510062629145,-0.000948680312891666,-0.0081096678286155,0.9857332177673017,0.00012322231864428165,-0.3998368742756675,0.024642005552743793,0.9877332183048727,-6.681483270667843e-8,-0.49860924162357584,-0.040548412901951054,-0.49249290819617103,0.04005104768729201
0.01603206412825651,5.941824249991513,1.0000000001258342,0.04005099987385872,-0.0009486602205867155,-0.008109669625254643,0.985733217331666,0.00012322443272772118,-0.39983629829901274,0.024642021562016014,0.9877322842836258,-8.431735892355125e-8,-0.49860872114283955,-0.040548394161813335,-0.4924919276792208,0.04005100003085123
0.018036072144288574,6.697317473333802,0.9999999999957808,0.040051149772906296,-0.0009486546724537867,-0.008109684667505173,0.9857332146661759,0.00012322133083193394,-0.3998357262761669,0.024641846526844736,0.9877317146638793,-4.425623051794441e-8,-0.49860847322311835,-0.04054854794411965,-0.4924914004080838,0.04005110885450735
