Index,"('voltage_source_4a_0', 'i_bus_d')","('voltage_source_4a_0', 'i_bus_q')","('gfli_23a_0', 'z_pll')","('gfli_23a_0', 'phase')","('gfli_23a_0', 'z_cc_d')","('gfli_23a_0', 'z_cc_q')","('gfli_23a_0', 'i_vsc_d')","('gfli_23a_0', 'i_vsc_q')","('gfli_23a_0', 'i_bus_d')","('gfli_23a_0', 'i_bus_q')","('gfli_23a_0', 'v_lcl_sh_d')","('gfli_23a_0', 'v_lcl_sh_q')","('gfli_23a_0', 'i_L_f')","('gfli_23a_0', 'v_dc_f')","('gfli_23a_0', 'i_dc_f')","('gfli_23a_0', 'i_load_f')","('gfli_23a_0', 'x_1')","('gfli_23a_0', 'x_2')","('gfli_23a_0', 'i_L')","('gfli_23a_0', 'v_dc')","('gfli_23a_0', 'i_load')","('constant_impedance_loads_0', 'i_bus_D')","('constant_impedance_loads_0', 'i_bus_Q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('gfli_23a_0', 'x_1')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_23a_0', 'x_2')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-12.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_23a_0', 'i_L')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3958.406743523139,-4750.0880922277665,3958.406743523139,3958.406743523139,3958.406743523139,3958.406743523139,0.0,-1795.1958020513098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_23a_0', 'v_dc')",0.0,0.0,0.00046514869592374005,0.7430894884688155,7.650742909461826,-1.1049524524961378,-16.52911778958858,3.0260974462463746,-0.7692705038467396,-2.622512395686832,0.0,0.0,4.607738991269784,5.5292867895237405,-4.607738991269784,-4.607738991269784,-4.607738991269784,-4.607738991269784,8.97597901025655,-6.886301463195426,-18.84955592153876,0.0,0.0,0.0,0.0,5.188064115690978,-2.5731550608175584,0.0,0.0
"('gfli_23a_0', 'i_load')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('constant_impedance_loads_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-942.4777960769379,376.99111843077515,0.0,0.0,-605.6921143852356,0.0,0.0,0.0
"('constant_impedance_loads_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-942.4777960769379,0.0,0.0,0.0,-605.6921143852356,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",753972.6306263364,-3806.017491934951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-188.49555921538757,376.99111843077515,0.0,0.0,-753982.2368615502,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",3806.017491934951,753972.6306263364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-188.49555921538757,0.0,0.0,0.0,-753982.2368615502
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,-134211.12308046874,0.0,0.0,0.0,0.0,714526.1482978892,240710.60820273342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753982.2368615502,0.0,0.0,0.0,-188.49555921538757,376.99111843077515,753982.2368615502,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,-373532.6018970644,0.0,0.0,0.0,0.0,-240710.60820273342,714526.1482978892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753982.2368615502,0.0,0.0,-376.99111843077515,-188.49555921538757,0.0,753982.2368615502
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.6370614359173,0.0,-1256.6370614359173,0.0,-37.69911184307752,376.99111843077515
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.6370614359173,0.0,-1256.6370614359173,-376.99111843077515,-37.69911184307752
