Index,"('voltage_source_4a_0', 'i_bus_d')","('voltage_source_4a_0', 'i_bus_q')","('gfmi_25a_0', 'phase')","('gfmi_25a_0', 'w')","('gfmi_25a_0', 'q_f')","('gfmi_25a_0', 'z_vc_d')","('gfmi_25a_0', 'z_vc_q')","('gfmi_25a_0', 'z_cc_d')","('gfmi_25a_0', 'z_cc_q')","('gfmi_25a_0', 'i_vsc_d')","('gfmi_25a_0', 'i_vsc_q')","('gfmi_25a_0', 'i_bus_d')","('gfmi_25a_0', 'i_bus_q')","('gfmi_25a_0', 'v_lcl_sh_d')","('gfmi_25a_0', 'v_lcl_sh_q')","('gfmi_25a_0', 'i_L_f')","('gfmi_25a_0', 'v_dc_f')","('gfmi_25a_0', 'i_dc_f')","('gfmi_25a_0', 'i_load_f')","('gfmi_25a_0', 'x_1')","('gfmi_25a_0', 'x_2')","('gfmi_25a_0', 'i_L')","('gfmi_25a_0', 'v_dc')","('gfmi_25a_0', 'i_load')","('constant_impedance_loads_0', 'i_bus_D')","('constant_impedance_loads_0', 'i_bus_Q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('gfmi_25a_0', 'i_vsc_q')",0.0,0.0,0.0,742.1686107551908,0.0,0.0,11988.31756609865,0.0,2513.2741228718346,5.684341886080802e-14,-12000.88393671301,0.0,9590.654052878921,791.228959362511,-9250.708595019278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_25a_0', 'i_bus_d')",0.0,0.0,-200.35301085511213,-18.256368865008525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1458.8198249085908,1193.6927170950812,0.0,0.0
"('gfmi_25a_0', 'i_bus_q')",0.0,0.0,1779.464265853139,197.61455552536103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1193.6927170950812,-1458.8198249085908,0.0,0.0
"('gfmi_25a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,-6.343808450073188e-15,0.0,0.0,0.0,0.0,0.0,5711.9866428905325,0.0,-5711.9866428905325,0.0,-571.1986642890532,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_25a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,-353.6156902778686,0.0,0.0,0.0,0.0,0.0,0.0,5711.9866428905325,0.0,-5711.9866428905325,-376.99111843077515,-571.1986642890532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_25a_0', 'i_L_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_25a_0', 'v_dc_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_25a_0', 'i_dc_f')",0.0,0.0,0.0,0.37914013108896977,21.976421282891053,-195.51976230330115,6.124285273829946,-40.989467988113454,1.2839172481823786,284.6476483960201,-6.117865687589043,-156.41580984264093,4.899428219063957,110.28630924252805,9.462455988125447,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,36.532963916282235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_25a_0', 'i_load_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_25a_0', 'x_1')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
