time,angle,w,q_f,z_vc_d,z_vc_q,z_cc_d,z_cc_q,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q,i_L_f,v_dc_f,i_dc_f,i_load_f,x_1,x_2,i_L,v_dc,i_load,p_vsc,p_sh,p_load
0.0,-0.0017823570497950143,1.0,0.04005103695221772,-0.0009485724835955883,-0.008109693717324354,0.9857332395646088,0.0001232093552425706,-0.39983582990362865,0.02464187104851061,0.9877324187141269,0.0,-0.4986090717750412,-0.04054846858662178,0.26174313640827224,1.05,-0.3753604112341561,0.5,0.13710354764242827,0.5238095238095238,0.26174313640827224,1.05,0.5,-0.3941284317958639,-0.49249234445716716,0.525
0.002004008016032064,0.011403487173597165,1.0000000000041298,0.040051127047971966,-0.0009486261581507983,-0.00810970409598795,0.985733234184213,0.00012321032159567585,-0.3998356137291226,0.024641833611234475,0.987731445156452,-3.8769333912795445e-8,-0.49860853858689735,-0.04054850650842953,0.26174313730705273,1.0499999996406006,-0.37536039532484106,0.5,0.13710354764225224,0.5238095240205434,0.2617432264333526,1.0499999966193938,0.5,-0.39412783083918124,-0.4924913308137441,0.5249999983096969
0.004008016032064128,0.024589331396640334,0.9999999999967081,0.04005113315538217,-0.0009486278530991261,-0.008109704337194434,0.9857332323975428,0.0001232105405265276,-0.3998356600699109,0.02464183458622843,0.9877314288363817,-4.014466075898607e-8,-0.49860861436581927,-0.04054850362973243,0.2617431649134247,1.0499999990427054,-0.37536039561138385,0.5,0.13710354767034277,0.5238095241947022,0.2617433113618735,1.0499999984953865,0.5,-0.39412786993445237,-0.49249139746987314,0.5249999992476932
0.0060120240480961915,0.03777517561983263,1.0000000000205043,0.040051105207931585,-0.0009486331190583607,-0.00810970068924021,0.9857332310503728,0.00012321080112434563,-0.3998356580820113,0.024641864741064445,0.9877314026691756,-4.289191841988381e-8,-0.4986086456050079,-0.040548472011107915,0.2617431783290189,1.0499999991647944,-0.37536040697052064,0.5,0.13710354770869362,0.5238095237437501,0.26174313571282154,1.0500000021957157,0.5,-0.39412785757657587,-0.49249141516721057,0.5250000010978578
0.008016032064128256,0.050961019843438246,1.0000000000545188,0.040051070098168946,-0.0009486336645170015,-0.00810969458642789,0.98573322994275,0.0001232110157450558,-0.3998356227379509,0.024641898679857218,0.9877313775412003,-4.289306219298765e-8,-0.49860864393604004,-0.040548436839236035,0.2617431474421643,1.0499999996708125,-0.37536042036030565,0.5,0.1371035477319895,0.5238095231998616,0.2617429105055973,1.0500000026841039,0.5,-0.3941278127520625,-0.49249140098964805,0.5250000013420519
0.01002004008016032,0.0641468640674864,1.0000000000835312,0.04005104133913946,-0.0009486288931976698,-0.008109688621997437,0.9857332290151061,0.00012321118816498047,-0.39983556244122054,0.02464192367723898,0.987731354794834,-4.0389106766029154e-8,-0.4986086175912912,-0.04054841079191934,0.26174310157022207,1.049999999875732,-0.37536043034420025,0.5,0.13710354773948102,0.5238095232647504,0.2617429281305365,1.0500000005697854,0.5,-0.3941277442735105,-0.49249136372811125,0.5250000002848927
0.012024048096192383,0.07733270829184127,1.0000000000980163,0.040051026445821154,-0.0009486206828239563,-0.008109684714755747,0.9857332281988018,0.00012321133561574637,-0.3998354897803005,0.024641933259853983,0.9877313344046074,-3.638657052739781e-8,-0.49860857915274037,-0.04054840019458836,0.2617430899680532,1.0499999997296443,-0.3753604340566093,0.5,0.13710354774698513,0.5238095238257304,0.26174315128481995,1.0499999997927396,0.5,-0.3941276645408382,-0.4924913157567043,0.5249999998963698
0.014028056112224447,0.0905185525162866,1.0000000000953446,0.040051026713842856,-0.0009486116527347178,-0.008109683672774145,0.9857332274158802,0.00012321147689998667,-0.39983541851026533,0.02464192734612757,0.9877313163132465,-3.2101165175336026e-8,-0.4986085424108491,-0.040548404989240186,0.2617431177425155,1.0499999997291447,-0.37536043123922114,0.5,0.13710354775913325,0.5238095241802099,0.261743294576732,1.0500000016102353,0.5,-0.3941275870924437,-0.4924912706188462,0.5250000008051177
0.01603206412825651,0.10370439674061355,1.0000000000789848,0.04005103829859866,-0.0009486041260973128,-0.00810968519620472,0.9857332266046835,0.00012321162646333807,-0.3998353590861322,0.024641910804387226,0.9877313005235319,-2.8558220120840755e-8,-0.4986085178623354,-0.040548420254565114,0.2617431457509107,1.0500000000930982,-0.37536042388540747,0.5,0.13710354776361852,0.5238095240046358,0.26174322147676915,1.050000003219925,0.5,-0.3941275222384497,-0.4924912386422845,0.5250000016099625
0.018036072144288574,0.1168902409646862,1.0000000000560278,0.0400510545919169,-0.0009485994036286862,-0.008109688225015498,0.9857332257344217,0.00012321179173605158,-0.3998353162199177,0.024641890795092034,0.9877312871957398,-2.629394564694864e-8,-0.49860851018392766,-0.04054843884573111,0.2617431462524877,1.0500000004400445,-0.37536041519870605,0.5,0.13710354775202918,0.5238095236905796,0.26174309009687635,1.0500000021311044,0.5,-0.3941274746897543,-0.4924912245045425,0.5250000010655522
