time,pi_cc_d,pi_cc_q,i_vsc_d,i_vsc_q,i_bus_d,i_bus_q,v_lcl_sh_d,v_lcl_sh_q,int_pll,phase_pll
0.0,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.004008016032064128,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.008016032064128256,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.012024048096192383,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.01603206412825651,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.02004008016032064,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.024048096192384766,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.028056112224448895,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.03206412825651302,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.03607214428857715,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.04008016032064128,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.044088176352705406,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.04809619238476953,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.052104208416833664,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.05611222444889779,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.06012024048096192,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.06412825651302605,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.06813627254509018,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.0721442885771543,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.07615230460921843,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.08016032064128256,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.08416833667334668,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.08817635270541081,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.09218436873747494,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.09619238476953906,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.1002004008016032,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.10420841683366733,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.10821643286573146,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.11222444889779558,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.11623246492985971,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.12024048096192384,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.12424849699398796,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.1282565130260521,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.13226452905811623,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
0.13627254509018036,0.2516540668448165,0.051436304960501875,0.2957718920815697,-0.46684662635780155,-0.781782955329153,-0.49364769591911617,1.0695395587790635,-0.08015288631659179,0.0,-0.04216036115207799
