time,i_br_D,i_br_Q
0.0,0.8520073910473224,0.2420021271330014
0.004008016032064128,0.8520073910473224,0.2420021271330014
0.008016032064128256,0.8520073910473224,0.2420021271330014
0.012024048096192383,0.8520073910473224,0.2420021271330014
0.01603206412825651,0.8520073910473224,0.2420021271330014
0.02004008016032064,0.8520073910473224,0.2420021271330014
0.024048096192384766,0.8520073910473224,0.2420021271330014
0.028056112224448895,0.8520073910473224,0.2420021271330014
0.03206412825651302,0.8520073910473224,0.2420021271330014
0.03607214428857715,0.8520073910473224,0.2420021271330014
0.04008016032064128,0.8520073910473224,0.2420021271330014
0.044088176352705406,0.8520073910473224,0.2420021271330014
0.04809619238476953,0.8520073910473224,0.2420021271330014
0.052104208416833664,0.8520073910473224,0.2420021271330014
0.05611222444889779,0.8520073910473224,0.2420021271330014
0.06012024048096192,0.8520073910473224,0.2420021271330014
0.06412825651302605,0.8520073910473224,0.2420021271330014
0.06813627254509018,0.8520073910473224,0.2420021271330014
0.0721442885771543,0.8520073910473224,0.2420021271330014
0.07615230460921843,0.8520073910473224,0.2420021271330014
0.08016032064128256,0.8520073910473224,0.2420021271330014
0.08416833667334668,0.8520073910473224,0.2420021271330014
0.08817635270541081,0.8520073910473224,0.2420021271330014
0.09218436873747494,0.8520073910473224,0.2420021271330014
0.09619238476953906,0.8520073910473224,0.2420021271330014
0.1002004008016032,0.8518078788139891,0.24202251089070204
0.10420841683366733,0.8419210859821095,0.2428828022858608
0.10821643286573146,0.8418107707691609,0.24291508077527849
0.11222444889779558,0.8417942000523716,0.24294614652663704
0.11623246492985971,0.8417839426784683,0.24297060322419012
0.12024048096192384,0.8417776626100515,0.24298964738245282
0.12424849699398796,0.8417743269539046,0.24300439178591077
0.1282565130260521,0.8417731495013929,0.24301572798052118
0.13226452905811623,0.8417735288348399,0.24302436750569098
0.13627254509018036,0.8417750072094935,0.24303087778711047
0.1402805611222445,0.8417772383512324,0.243035710954037
0.1442885771543086,0.8417799622141598,0.24303922693770724
0.14829659318637273,0.8417829852294779,0.24304171197918042
0.15230460921843686,0.8417861648821263,0.24304339345372863
0.156312625250501,0.8417893976935861,0.2430444517404604
0.16032064128256512,0.841792609881579,0.24304502972239575
0.16432865731462926,0.841795750120182,0.2430452403868741
0.16833667334669336,0.8417987839451692,0.2430451729034818
0.1723446893787575,0.8418016894455954,0.243044897482196
0.17635270541082163,0.8418044539588779,0.24304446925460105
0.18036072144288576,0.8418070715469868,0.2430439313729654
0.1843687374749499,0.8418095410790983,0.24304331748337044
0.18837675350701402,0.8418118647837828,0.24304265369809375
0.19238476953907813,0.8418140471635602,0.2430419601675778
0.19639278557114226,0.8418160941881218,0.24304125233235735
0.2004008016032064,0.8450303412997215,0.24255849120738324
0.20440881763527052,0.8620342265828354,0.24127989751126755
0.20841683366733466,0.8622170685421717,0.24120971133799093
0.2124248496993988,0.8622507069177956,0.24114769483598347
0.21643286573146292,0.862272241226385,0.2410987285076025
0.22044088176352702,0.8622858482860504,0.24106048826519963
0.22444889779559116,0.8622935692510476,0.2410307730768764
0.2284569138276553,0.8622969618063042,0.24100782054062853
0.23246492985971942,0.8622972182772685,0.24099022381624952
0.23647294589178355,0.8622952468391267,0.2409768607337648
0.24048096192384769,0.8622917351587458,0.24096683688595666
0.2444889779559118,0.8622872002863105,0.24095944001343889
0.24849699398797592,0.8622820276972285,0.2409541034541613
0.25250501002004005,0.862276501782738,0.2409503768662743
0.2565130260521042,0.8622708296098254,0.24094790278557496
0.2605210420841683,0.8622651593911823,0.24094639786202385
0.26452905811623245,0.8622595948041177,0.2409456378475395
0.2685370741482966,0.8622542060577588,0.24094544559030198
0.2725450901803607,0.8622490384178322,0.2409456814378695
0.27655310621242485,0.8622441187477115,0.24094623556956854
0.280561122244489,0.8622394605051774,0.24094702187352424
0.28456913827655306,0.8622350675400212,0.2409479730599102
0.2885771543086172,0.8622309369631046,0.24094903676318274
0.2925851703406813,0.8622270612986828,0.24095017243517508
0.29659318637274545,0.8622234300854393,0.2409513488703347
0.3006012024048096,0.8546194754533036,0.24235721226877224
0.3046092184368737,0.841977425228857,0.24271896622365588
0.30861723446893785,0.8418161447940554,0.24278774762321095
0.312625250501002,0.8417822303781034,0.24284954946191772
0.3166332665330661,0.8417600197261189,0.2428983898519524
0.32064128256513025,0.8417456935604938,0.2429366123113201
0.3246492985971944,0.8417372342313747,0.24296639219892271
0.3286573146292585,0.8417330994936669,0.24298947100428736
0.33266533066132264,0.8417321082497028,0.2430072390796121
0.3366733466933867,0.8417333603465987,0.24302080564363215
0.34068136272545085,0.8417361736907839,0.24303105496976157
0.344689378757515,0.8417400349453077,0.24303869142525703
0.3486973947895791,0.8417445609454345,0.24304427556123967
0.35270541082164325,0.8417494685623584,0.2430482530217744
0.3567134268537074,0.8417545512167616,0.24305097769242548
0.3607214428857715,0.8417596606191062,0.24305273022906365
0.36472945891783565,0.8417646926116286,0.24305373288289503
0.3687374749498998,0.8417695762236242,0.24305416135699745
0.3727454909819639,0.8417742652393224,0.24305415428445698
0.37675350701402804,0.841778731726394,0.24305382080154828
0.3807615230460922,0.841782961090922,0.24305324659570782
0.38476953907815625,0.8417869483178273,0.24305249873280896
0.3887775551102204,0.8417906951293473,0.2430516295078402
0.3927855711422845,0.8417942078522648,0.24305067951460418
0.39679358717434865,0.8417974958303772,0.24304968009114758
0.4008016032064128,0.8534508529460766,0.24073562793814143
0.4048096192384769,0.8620613106210094,0.24127649414701002
0.40881763527054105,0.8622059067205698,0.24121042952310287
0.4128256513026052,0.8622387032831728,0.24114942357615612
0.4168336673346693,0.8622602098007411,0.2411013101121448
0.42084168336673344,0.8622739607203505,0.2410636868096614
0.4248496993987976,0.8622819447676716,0.2410344023558735
0.4288577154308617,0.8622856831516598,0.2410117351291704
0.43286573146292584,0.8622863404920513,0.24099431074795266
0.4368737474949899,0.8622848040304483,0.24098103282567396
0.44088176352705405,0.8622817457530981,0.2409710274022355
0.4448897795591182,0.8622776710912055,0.2409635984024064
0.4488977955911823,0.8622729570299509,0.24095819194526846
0.45290581162324645,0.8622678818700493,0.24095436775576523
0.4569138276553106,0.8622626484191845,0.24095177627344286
0.4609218436873747,0.8622574020197791,0.24095014033007445
0.46492985971943884,0.8622522445249129,0.24094924049021924
0.468937875751503,0.8622472451003051,0.2409489033274855
0.4729458917835671,0.8622424485447407,0.24094899205287676
0.47695390781563124,0.8622378816743053,0.2409493990269766
0.48096192384769537,0.8622335581993783,0.2409500397803999
0.4849699398797595,0.8622294824312704,0.2409508482413549
0.4889779559118236,0.8622256520826423,0.24095177292890704
0.4929859719438877,0.8622220603684405,0.24095277391848824
0.49699398797595185,0.8622186975688323,0.24095382042467559
0.501002004008016,0.8480160769066116,0.2435822698572293
0.5050100200400801,0.8419351329076058,0.24273079065377662
0.5090180360721442,0.8418081228710361,0.24279649826468305
0.5130260521042084,0.8417760491137554,0.24285688059474697
0.5170340681362725,0.8417549220176369,0.2429044448592388
0.5210420841683366,0.8417414401703113,0.2429416361814555
0.5250501002004008,0.8417336423414941,0.24297058258828347
0.5290581162324649,0.8417300272101491,0.242992986527728
0.533066132264529,0.8417294456035306,0.24301020703461726
0.5370741482965932,0.8417310222551306,0.24302332822673722
0.5410821643286573,0.8417340944313711,0.24303321426239152
0.5450901803607214,0.8417381638228235,0.24304055339142214
0.5490981963927856,0.8417428589016084,0.2430458932521231
0.5531062124248497,0.8417479055271163,0.24304966914391055
0.5571142284569138,0.8417531040433687,0.24305222666533682
0.561122244488978,0.8417583114779738,0.24305383983343756
0.565130260521042,0.8417634277438988,0.2430547255804559
0.5691382765531061,0.84176838497649,0.24305505534721783
0.5731462925851702,0.841773139321555,0.24305496435038407
0.5771543086172344,0.841777664635642,0.24305455898668682
0.5811623246492985,0.8417819476747044,0.24305392274559862
0.5851703406813626,0.841785984438327,0.24305312092827683
0.5891783567134268,0.8417897774085839,0.2430522044115342
0.5931863727454909,0.841793333479324,0.2430512126481578
0.597194388777555,0.8417966624163916,0.2430501760568417
0.6012024048096192,0.8571490069010018,0.24079893862186744
0.6052104208416833,0.8621008731589401,0.24127068290836376
0.6092184368737474,0.8622090175157504,0.24120427864281846
0.6132264529058116,0.8622403426980808,0.24114454984933723
0.6172344689378757,0.8622610147362846,0.24109757015223307
0.6212424849699398,0.8622741541330756,0.2410608454107199
0.625250501002004,0.862281695127696,0.2410322707585042
0.6292585170340681,0.8622851192415806,0.24101016278019458
0.6332665330661322,0.8622855602302311,0.2409931776911305
0.6372745490981964,0.8622838813753212,0.24098024358082726
0.6412825651302605,0.8622807361185587,0.24097050605870468
0.6452905811623246,0.8622766155867586,0.24096328468741088
0.6492985971943888,0.8622718857741416,0.24095803807460106
0.6533066132264529,0.8622668165740978,0.24095433591211393
0.657314629258517,0.8622616043967228,0.24095183658808103
0.6613226452905812,0.8622563897459834,0.24095026926814025
0.6653306613226453,0.8622512708424315,0.24094941955948032
0.6693386773547093,0.862246314148837,0.24094911804629793
0.6733466933867734,0.8622415624748354,0.24094923112575178
0.6773547094188376,0.8622370411930507,0.24094965368637455
0.6813627254509017,0.862232762985437,0.24095030326156613
0.6853707414829658,0.8622287314486561,0.24095111536359415
0.68937875751503,0.8622249438162555,0.24095203976197438
0.6933867735470941,0.8622213929993606,0.2409530375170149
0.6973947895791582,0.8622180691034045,0.24095407861694804
0.7014028056112224,0.8463175010210647,0.24258137129439872
0.7054108216432865,0.8418950597209514,0.24273608027271987
0.7094188376753506,0.8418039180722715,0.24280322980741045
0.7134268537074148,0.8417732815723894,0.24286228684573874
0.7174348697394789,0.8417530357651546,0.24290870005892315
0.721442885771543,0.841740212790023,0.24294497434649936
0.7254509018036072,0.8417329048789262,0.2429731916690121
0.7294589178356713,0.8417296499878291,0.24299501666509216
0.7334669338677354,0.8417293295180217,0.2430117780810182
0.7374749498997996,0.8417310919596366,0.24302453579382027
0.7414829659318637,0.8417342929876828,0.24303413456953266
0.7454909819639278,0.8417384485130878,0.24304124715137837
0.749498997995992,0.8417431979546651,0.24304640878401143
0.7535070140280561,0.8417482755650683,0.2430500448662899
0.7575150300601202,0.8417534880945416,0.24305249309210047
0.7615230460921844,0.8417586974346043,0.24305402117104938
0.7655310621242485,0.8417638071684378,0.2430548410056349
0.7695390781563125,0.8417687521806867,0.24305512002856042
0.7735470941883766,0.8417734906585568,0.24305499026486732
