time,i_br_a,i_br_b,i_br_c
0.0,-1.0192313682365028,0.8743170155174091,0.14491435271909325
0.01002004008016032,1.0701336185115984,-0.30427368047644854,-0.7658599380295972
0.02004008016032064,-0.7027221832216245,-0.38471513498161597,1.087437318206685
0.03006012024048096,0.06060889260140176,0.9232921985769948,-0.983901091176152
0.04008016032064128,0.6051689976296792,-1.1009753888626275,0.49580639123452364
0.0501002004008016,-1.0344386271952584,0.8483280880563137,0.18611053913996803
0.06012024048096192,1.0593115442163477,-0.2640256836095728,-0.7952858606024132
0.07014028056112225,-0.670123379004106,-0.423474529470119,1.0935979084762837
0.08016032064128256,0.01898180484420009,0.9454087372942073,-0.9643905421369424
0.09018036072144288,0.6395543669368848,-1.0978068885708112,0.4582525216356858
0.1002004008016032,-1.048135675222587,0.8211080544319584,0.22702762079299887
0.11022044088176353,1.046966301043695,-0.22340010030205873,-0.8235662007376523
0.12024048096192384,-0.6365623957392855,-0.46162326576777696,1.0981856615095291
0.13026052104208416,-0.022672316973253615,0.9661806652065327,-0.9435083482316046
0.1402805611222445,0.6730299422509893,-1.093077048184579,0.42004710593388805
0.1503006012024048,-1.0603287612645305,0.7927115516425214,0.2676172096219561
0.16032064128256512,1.0331222971688712,-0.18245609580441446,-0.8506662013613128
0.17034068136272545,-0.602091598496676,-0.49911071786269584,1.1012023163609528
0.18036072144288576,-0.06429431030999683,0.9855755912776014,-0.9212812809658397
0.1903807615230461,0.7055459912761591,-1.086788597754568,0.3812426064786844
0.2004008016032064,-1.0710073206913202,0.7631836865227115,0.30782363416871217
0.21042084168336672,1.0178049913799592,-0.1412525068634279,-0.8765524845139907
0.22044088176352705,-0.5667629924794184,-0.5358864031052869,1.1026493955861703
0.23046092184368736,-0.10582593977269515,1.0035635744168523,-0.897737634643447
0.24048096192384769,0.7370603347224554,-1.0789528441474485,0.34189250942601584
0.250501002004008,-1.080160830206917,0.7325695240628347,0.3475913061446271
0.2605210420841683,1.0010398205005582,-0.09984819990361182,-0.9011916205928535
0.27054108216432865,-0.5306286017068658,-0.5718998653607019,1.1025284670702014
0.280561122244489,-0.14721354080591323,1.0201346085683476,-0.8729210677605539
0.2905811623246493,0.7675279873902382,-1.069581292510235,0.3020533051221582
0.3006012024048096,-1.0877787776692975,0.7009141236217964,0.3868646540489667
0.3106212424849699,0.9828522213771911,-0.05830204541738415,-0.924550175958031
0.32064128256513025,-0.4937404533809394,-0.6071006561678478,1.1008411095497848
0.3306613226452906,-0.1883848990081666,1.0352301744199224,-0.8468452754108721
0.3406813627254509,0.7968856861531156,-1.0586669497835741,0.2617812636312529
0.3507014028056112,-1.0938506551792795,0.6682625443200401,0.4255881108601125
0.3607214428857715,0.9632676324509772,-0.01667291384833891,-0.9465947186004914
0.37074148296593185,-0.4561505753080084,-0.6414383300687625,1.097588905378219
0.3807615230460922,-0.22928383248619658,1.0488382756445334,-0.819554443157479
0.3907815631262525,0.8250989025932451,-1.0462341603929646,0.2211352578016244
0.4008016032064128,-1.0983659568877215,0.6346598455620337,0.4637061113271393
0.4108216432865731,0.942311493216961,0.024980324820496447,-0.9672918180347472
0.42084168336673344,-0.4179109953981157,-0.6748624430818788,1.0927734384822627
0.4308617234468938,-0.26985416017147745,1.060946917217466,-0.7910927570448034
0.4408817635270541,0.8521331094466805,-1.0323072697646705,0.18017416031961359
0.45090180360721444,-1.1013141779934537,0.6001510869311835,0.5011630910637084
0.4609218436873747,0.9200092436960263,0.06659880099530158,-0.986608044691119
0.47094188376753504,-0.3790737415380366,-0.70732255197681,1.0863962935144549
0.48096192384769537,-0.3100397014554205,1.0715441048206842,-0.7615044033653756
0.4909819639278557,0.8779537800373834,-1.0169106237404373,0.13895684370201314
0.501002004008016,-0.993676813371951,0.5218321192215414,0.4718446941494818
0.5110220440881763,0.7451655532605398,0.043615990235936625,-0.788781543497358
0.5210420841683366,-0.3250704514579124,-0.5624986690381674,0.8875691204958559
0.531062124248497,-0.24737955947684176,0.8619967128319983,-0.614617153354925
0.5410821643286573,0.6971340910184544,-0.8148141742354696,0.11768008321584031
0.5511022044088176,-0.8807305041057801,0.4485062824305792,0.43222422167383256
0.561122244488978,0.7037232795140749,0.09451433303226534,-0.7982376125469244
0.5711422845691383,-0.2540356630798011,-0.5949559933548634,0.8489916564342556
0.5811623246492986,-0.2994318141733339,0.8552043269044656,-0.5557725127321386
0.5911823647294588,0.7271243654053428,-0.7701242865556407,0.04299992114935834
0.6012024048096192,-0.8623431987131809,0.3747170503904416,0.48762614832264284
0.6112224448897795,0.6464457373827786,0.1721014581828335,-0.8185471955658118
0.6212424849699398,-0.16886319654914123,-0.6486130078979309,0.8174762044482391
0.6312625250501002,-0.37861749207611395,0.8609512583431447,-0.4823337662661366
0.6412825651302605,0.7715409040923665,-0.721361303274658,-0.050179600815796976
0.6513026052104208,-0.8492479559598741,0.2856016848454971,0.5636462711156025
