time,pi_cc_d,pi_cc_q,theta_pll,gamma_pll,i_vsc_a,i_vsc_b,i_vsc_c,v_sh_a,v_sh_b,v_sh_c,i_bus_a,i_bus_b,i_bus_c
0.0,0.23265488986009902,0.08184292355395967,0.0,0.0,0.1308126979288191,-0.8161359275671618,0.6853232296383427,1.5145997993960403,-1.0208007806154293,-0.49379901878061044,-1.4142135623730951,0.08870989321682603,1.3255036691562685
0.01002004008016032,0.23265488562848316,0.08184292345425039,3.7774664078943716,3.862861592916657e-9,-0.6200870152121966,0.8467493456759344,-0.22666233045782552,-1.3993028321348344,0.1326453062131065,1.2666575259222939,0.7137488501946666,0.8680246443960944,-1.5817734945856308
0.02004008016032064,0.2326548229817605,0.08184289251983003,7.554932561579614,4.354604272322907e-9,0.8669498471480659,-0.5463885636234225,-0.3205612835223008,0.7369931922060741,0.8073591968865507,-1.5443523890915265,0.26573343016592565,-1.4854677645087793,1.2197343343461813
0.03006012024048096,0.2326548183201275,0.08184288712960844,11.332398224707017,-1.658769255402321e-9,-0.7749134300300363,0.03243096659132852,0.7424824634411491,0.2133921336852117,-1.431736702658204,1.2183445689730412,-1.1413036430678902,1.5221879489781056,-0.38088430590749733
0.04008016032064128,0.2326547920123313,0.08184286799790987,15.109864612178296,1.934195745289871e-9,0.38000255059173993,0.4941886555961398,-0.8741912061873167,-1.0803365508824123,1.4964890524752408,-0.41615250159376466,1.570758087253913,-0.9639497806205422,-0.606808306632168
0.0501002004008016,0.23265480070830943,0.081842865560547,18.887330395964092,-2.4787251320297893e-9,0.1634874789250819,-0.8276655237969004,0.6641780448724603,1.5250550456477097,-0.9762991973632887,-0.548755848284365,-1.3862721082117129,0.028908434927238588,1.35736367328521
0.06012024048096192,0.2326547864629212,0.08184286279415881,22.664797659664345,1.2736257778199925e-8,-0.6430381155261541,0.8375665709840769,-0.194528455454451,-1.373567994358868,0.07440974237591466,1.2991582519825196,0.6598227940824211,0.9174726555871853,-1.5772954496661904
0.07014028056112225,0.23265476280360475,0.08184284109545198,26.442262894399093,1.0406328924632326e-9,0.871255944925778,-0.5200950197486749,-0.3511609251765026,0.6851916249319381,0.8565341431291577,-1.5417257680610312,0.3245289669225434,-1.505214370297633,1.1806854033767722
0.08016032064128256,0.2326547401906829,0.08184282580382404,30.219728663000215,-3.573560626372438e-9,-0.7588866290998784,-0.0006691301580104558,0.7595557592588578,0.27101974623005104,-1.4526267512911444,1.1816070050607121,-1.1819844986177201,1.5045226581644713,-0.3225381595454715
0.09018036072144288,0.23265471661246406,0.081842809157284,33.99719497872239,-9.320129471083028e-10,0.34990580243839076,0.5211764688863313,-0.8710822713223585,-1.1212673168481935,1.4809400655025042,-0.3596727486532746,1.5774268617616842,-0.915783132489748,-0.6616437292697894
0.1002004008016032,0.23265474586691282,0.08184281984666149,37.774661043447956,-1.618668116809883e-9,0.19590190411791653,-0.8379891047278992,0.6420872006113906,1.5332880619046079,-0.9303841296535854,-0.6029039322512635,-1.3563103691029788,-0.030933093841929576,1.387243462946519
0.11022044088176353,0.23265472971472242,0.08184281881702081,41.55212837913267,1.4551205297170013e-8,-0.6650812785235776,0.8271856621590779,-0.16210438363324448,-1.3458769057874251,0.016081494596721785,1.3297954111886665,0.6049544198852252,0.9655866258393788,-1.5705410457207216
0.12024048096192384,0.23265471037911495,0.08184279764961817,45.32959335586333,-5.660948558918968e-10,0.8743109519379219,-0.4930634197176303,-0.3812475322203865,0.6324079000957046,0.9044727942607651,-1.5368806943567523,0.3828556269361637,-1.5227948874660335,1.1399392605317469
0.13026052104208416,0.23265467694705877,0.08184277626828577,49.107059086079616,-5.6891812181287115e-9,-0.7417793987512137,-0.03376957957834925,0.7755489783306976,0.3282614440605231,-1.4714504819981529,1.1431890379376162,-1.2209849002499444,1.4847182564864654,-0.26373335623564786
0.1402805611222445,0.23265465561029852,0.08184276193966301,52.88452533015577,-3.997670217132361e-9,0.3193092210932378,0.5474240202899587,-0.866733241382672,-1.1606025236898365,1.463283828324258,-0.30268130463500964,1.5818523108856117,-0.8663141848912457,-0.7155381259940828
0.1503006012024048,0.2326546969171722,0.0818427807494367,56.66199161008035,-1.8299540782570587e-9,0.22802841685656688,-0.8471116894854946,0.6190832726289232,1.5393196718256528,-0.8831366692478787,-0.6561830025777231,-1.3244052682037675,-0.09072840833916945,1.4151336765428941
0.16032064128256512,0.2326546790306154,0.08184278068792711,60.43945901782549,1.5295837604782045e-8,-0.686169834994659,0.8156249345510957,-0.12945509955226514,-1.3162592863797324,-0.04226561845368565,1.3585249048322137,0.5492211296083738,1.0123167699581188,-1.5615378995625375
0.17034068136272545,0.23265466377119812,0.08184276046875859,64.21692376988004,-2.80108598367272e-9,0.8761166869412861,-0.465333415482999,-0.41078327145608257,0.5787211160550682,0.9511142984182173,-1.5298354144727628,0.4406332980601462,-1.5381959178498885,1.0975626197906285
