bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,timepoint_1,-67.08056522433783,-9.97494096311732e-9,0.0,-67.08056523417291
santiago,timepoint_1,80.0,-9.974940965584796e-9,0.0,79.99999998990339
