bus,timepoint,active_load_shedding_MW,reactive_load_shedding_MVAR
lima,timepoint_1,-9.97494096311732e-9,-9.974940964300128e-9
santiago,timepoint_1,-9.974940965584796e-9,-9.974940954696962e-9
