bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,timepoint_1,-67.07054119784156,-9.974940957991387e-9,0.0,-67.0705412078074
canberra,timepoint_1,80.0,-9.974940974243445e-9,0.0,79.99999999001713
