bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,t_1,90.330161366254,-9.974940966325801e-9,0.0,90.33016135627915
santiago,t_1,-80.0,-9.974940966424761e-9,0.0,-80.00000000997503
