time,v_bus_a,v_bus_b,v_bus_c
0.0,1.6338117116502748,-0.37913133375010294,-1.2546803779001714
0.01002004008016032,-1.0142788485374679,-0.6853729252349391,1.6996517737727983
0.02004008016032064,-0.0017090424386861647,1.4819591554589417,-1.480250113020758
0.03006012024048096,1.0170782662841025,-1.6992849071608296,0.6822066408765157
0.04008016032064128,-1.6348347954995637,1.2523521882078605,0.38248260728959094
0.0501002004008016,1.6135387128134329,-0.3158688767525252,-1.2976698360616137
0.06012024048096192,-0.9615393573964907,-0.7440474221640677,1.705586779560398
0.07014028056112225,-0.06629400767619414,1.5131466612315836,-1.4468526535554977
0.08016032064128256,1.068261002481301,-1.690750710696685,0.6224897082152824
0.09018036072144288,-1.652631331025917,1.2074661649041452,0.44516516612246343
0.1002004008016032,1.5909610935057834,-0.2521684310995151,-1.33879266240758
0.11022044088176353,-0.9074316404956895,-0.8016611228370074,1.7090927633326758
0.12024048096192384,-0.13078512517230023,1.5421743112369546,-1.4113891860646999
0.13026052104208416,1.1179214950977352,-1.6798076899826262,0.5618861948849515
0.1402805611222445,-1.6680936272124924,1.1608684716108408,0.507225155603079
0.1503006012024048,1.5661218425529186,-0.18810989475749018,-1.3780119477972699
0.16032064128256512,-0.8520348246464968,-0.8581354653343911,1.7101702899807703
0.17034068136272545,-0.19509069278224034,1.5689978205866986,-1.3739071278042891
0.18036072144288576,1.1659925607256116,-1.6664760833336099,0.5004835226076668
0.1903807615230461,-1.6811632304771966,1.1126083150839594,0.5685549153927646
0.2004008016032064,1.5390588156107006,-0.1237842289393285,-1.4152745866712355
0.21042084168336672,-0.7954284489165667,-0.9133912821624466,1.7088197310792477
0.22044088176352705,-0.2591186492274852,1.5935769171447165,-1.334458267917563
0.23046092184368736,1.2124069815077325,-1.6507761213050263,0.43836913979697917
0.24048096192384769,-1.6918112594848176,1.0627505004515572,0.6290607590321122
0.250501002004008,1.5098098631831331,-0.05928237191537056,-1.4505274912697743
0.2605210420841683,-0.7376920681562494,-0.967349387633126,1.7050414557893872
0.27054108216432865,-0.3227782323889863,1.6158816959486126,-1.2931034635598428
0.280561122244489,1.2570975421622905,-1.6327280258542234,0.37563048369212704
0.2905811623246493,-1.7000362995520888,1.0113735853399972,0.6886627142136177
0.3006012024048096,1.4784128319772516,0.005304755124021843,-1.48371758709964
0.3106212424849699,-0.6789052391912115,-1.0199305955819247,1.6988358347730208
0.32064128256513025,-0.385978690379982,1.6358822645123627,-1.2499035741312008
0.3306613226452906,1.299997032417231,-1.612352016765216,0.3123549843474197
0.3406813627254509,-1.7058369429983065,0.9585561303706662,0.7472808126291846
0.3507014028056112,1.4449055674404172,0.06988624034985569,-1.5147918077908913
0.3607214428857715,-0.6191475180073815,-1.0710557229900652,1.6902032409976442
0.37074148296593185,-0.44863410245581914,1.6535586710317913,-1.2049245685746877
0.3807615230460922,1.3410569535776695,-1.5896867117488194,0.24862975817108507
0.3907815631262525,-1.709211786694407,0.9043766964181263,0.804835090276951
0.4008016032064128,1.4093340431614432,0.13437123341114382,-1.5437052765729629
0.4108216432865731,-0.5585082997961295,-1.1206758454097567,1.679184145205576
0.42084168336673344,-0.5106570425579333,1.6688904584198134,-1.15823341586284
0.4308617234468938,1.3802037779096892,-1.5647533865082286,0.18454960859818875
0.4408817635270541,-1.710159430575175,0.8489138436895101,0.8612455868859028
0.45090180360721444,1.371747622786156,0.19866684284159628,-1.5704144656273529
0.4609218436873747,-0.4970660673356728,-1.1686692914369858,1.6657353587728634
0.47094188376753504,-0.5719362038008708,1.6818117108421287,-1.1098755070396273
0.48096192384769537,1.4173561946908209,-1.5375649103167661,0.12020871562567476
0.4909819639278557,-1.708678476723836,0.7922461315089286,0.9164323452147811
0.501002004008016,1.7232935723437952,0.31338099068749103,-2.0366745630302074
0.5110220440881763,-0.48195274692778617,-1.4568946726103205,1.9388474195386665
0.5210420841683366,-0.7680499611203019,2.0013094800022464,-1.2332595188836677
0.531062124248497,1.7376144716139212,-1.7995110294109165,0.061896557796514984
0.5410821643286573,-2.0456377528028864,0.8856657992919237,1.159971953511207
0.5511022044088176,1.5800404728015778,0.36416546510400993,-1.9442059379065808
0.561122244488978,-0.4956762753336563,-1.5035089540375877,1.9991852293725216
0.5711422845691383,-0.7865997082323656,2.071460561474309,-1.2848608532413714
0.5811623246492986,1.786579065767589,-1.8603464852643419,0.07376741950492927
0.5911823647294588,-2.111049385318166,0.9278500440388111,1.1831993412801247
0.6012024048096192,1.633793809187168,0.36403329570282295,-1.997827104895277
0.6112224448897795,-0.5230399437711772,-1.5349105115147843,2.0579504552863948
0.6212424849699398,-0.7967961324043178,2.1259948454299678,-1.3291987130239664
0.6312625250501002,1.8254729088317487,-1.9111641544175855,0.08569124558284613
0.6412825651302605,-2.162871576405763,0.9596727146458237,1.2031988617614209
0.6513026052104208,1.6753361854067035,0.3656136958315171,-2.040949881239616
0.6613226452905812,-0.5403677477881119,-1.5633971434473681,2.10376489123704
0.6713426853707415,-0.8098989563464898,2.169659602256778,-1.3597606459086669
0.6813627254509018,1.8600129910541905,-1.948789134613965,0.08877614356269414
0.6913827655310621,-2.20308204487948,0.9773509370770516,1.2257311078149362
0.7014028056112224,1.702761997490662,0.3751991364747421,-2.0779611339719457
0.7114228456913827,-0.5444240890327856,-1.5929716407855659,2.1373957298223236
0.721442885771543,-0.8299726063287214,2.2053341197417073,-1.375361513412134
0.7314629258517034,1.8933444517648623,-1.9731903229210497,0.07984587116577413
0.7414829659318637,-2.233740825683996,0.9800726904103456,1.2536681352757473
0.751503006012024,1.716084513615991,0.39538870453042596,-2.111473218152313
0.7615230460921844,-0.534370055387356,-1.625679246761777,2.1600493021424416
0.7715430861723447,-0.858822164066724,2.2351150650033613,-1.3762929009145528
0.781563126252505,1.9272232635664706,-1.9853580661711596,0.058134802605377955
0.7915831663326653,-2.2565965861904265,0.9683806853414113,1.2882159008536775
0.8016032064128256,1.7160869383572053,0.4265721919883441,-2.1426591303447466
