time,i_bus_d,i_bus_q
0.0,0.9995651869707128,-0.21493615006717967
0.002004008016032064,0.999565190527915,-0.21493615054627757
0.004008016032064128,0.9995651897243611,-0.21493615009436542
0.0060120240480961915,0.9995651888538488,-0.21493614973541234
0.008016032064128256,0.9995651879529743,-0.2149361494487839
0.01002004008016032,0.9995651993863525,-0.2149361504045671
0.012024048096192383,0.9995651862342975,-0.21493614909235476
0.014028056112224447,0.9995651854169199,-0.21493614890681506
0.01603206412825651,0.9995651847256269,-0.21493614879198028
0.018036072144288574,0.9995651841458538,-0.21493614871811714
0.02004008016032064,0.9995651836907204,-0.21493614867701455
0.022044088176352703,0.9995651833698616,-0.2149361486667245
0.024048096192384766,0.9995651831874076,-0.2149361486862377
0.026052104208416832,0.9995651831423457,-0.21493614873442357
0.028056112224448895,0.9995651832285412,-0.21493614880971298
0.03006012024048096,0.9995651834347293,-0.21493614890987645
0.03206412825651302,0.999565183744653,-0.21493614903189787
0.03406813627254509,0.9995651841368046,-0.21493614917179205
0.03607214428857715,0.9995651846971717,-0.21493614942030712
0.038076152304609215,0.9995651850579917,-0.2149361495095312
0.04008016032064128,0.9995651855119176,-0.2149361496479337
0.04208416833667334,0.9995651859173486,-0.21493614979367667
0.044088176352705406,0.9995651862195034,-0.21493614992245919
0.04609218436873747,0.9995651863667459,-0.2149361500203704
0.04809619238476953,0.9995651863019783,-0.21493615007421144
0.0501002004008016,0.9995651879287607,-0.21493615042155712
0.052104208416833664,0.9995651896878072,-0.21493615078066836
0.05410821643286573,0.9995651908643164,-0.2149361510231678
0.05611222444889779,0.9995651915429273,-0.21493615116431747
0.058116232464929855,0.99956519180306,-0.21493615121863024
0.06012024048096192,0.9995651946339071,-0.21493615180836176
0.06212424849699398,0.9995651913833479,-0.21493615117349005
0.06412825651302605,0.9995651907831705,-0.21493615100703564
0.06613226452905811,0.9995651900582387,-0.2149361508375604
0.06813627254509018,0.9995651892319009,-0.21493615065007285
0.07014028056112225,0.9995651883512101,-0.21493615044855122
0.0721442885771543,0.9995651874590747,-0.2149361502413679
0.07414829659318636,0.9995651865927122,-0.21493615003672858
0.07615230460921843,0.9995651857839608,-0.2149361498419369
0.0781563126252505,0.9995651850593905,-0.21493614966333804
0.08016032064128256,0.9995651844403425,-0.2149361495062505
0.08216432865731463,0.9995651839428094,-0.21493614937503822
0.08416833667334668,0.9995651835776677,-0.21493614927294205
0.08617234468937875,0.9995651834496951,-0.21493614929360894
0.08817635270541081,0.999565183262527,-0.21493614918748313
0.09018036072144288,0.999565183303729,-0.2149361491628387
0.09218436873747494,0.9995651834738317,-0.21493614918495219
0.09418837675350701,0.9995651837511524,-0.21493614923821147
0.09619238476953906,0.9995651841159321,-0.2149361493167817
0.09819639278557113,0.9995651845428926,-0.2149361494155555
0.1002004008016032,2.2817547108362857,-0.2730813689451691
0.10220440881763526,10.317803647649924,-3.8945526331307385
0.10420841683366733,12.044976131313367,-8.087111310210615
0.1062124248496994,11.223910002292921,-10.274036190892165
0.10821643286573146,10.164720935666894,-10.812341111457705
0.11022044088176351,9.584445928861143,-10.655171486922864
0.11222444889779558,9.420196679870475,-10.401576558698634
0.11422845691382764,9.441952824396159,-10.252203111789884
0.11623246492985971,9.496072763870494,-10.20260578156517
0.11823647294589178,9.527911856225206,-10.198933412252096
0.12024048096192384,9.5361662566006,-10.203148603352917
0.1222444889779559,9.533669303199085,-10.201374397716704
0.12424849699398796,9.529954880959366,-10.19332455779401
0.12625250501002003,9.52867150573639,-10.182512421815721
0.1282565130260521,9.529921902885402,-10.171686837532706
0.13026052104208416,9.53276919086676,-10.16203378136016
0.13226452905811623,9.536411267738321,-10.153746783536793
0.1342685370741483,9.540450939570318,-10.146670366858485
0.13627254509018036,9.544740314054826,-10.140622907890398
0.13827655310621242,9.54923678637286,-10.135488520104829
0.1402805611222445,9.553905739032658,-10.131187622150561
0.14228456913827653,9.558710722589828,-10.127661733620034
0.1442885771543086,9.563620196063484,-10.12484909076125
0.14629258517034066,9.568587584477488,-10.12267739939499
0.14829659318637273,9.573584118852727,-10.121074713944598
0.1503006012024048,9.578583396394782,-10.119969386553906
0.15230460921843686,9.583564392431358,-10.119293664788811
0.15430861723446893,9.58851015523217,-10.118984836638548
0.156312625250501,9.593406821448488,-10.1189855859894
0.15831663326653306,9.598242996737559,-10.119244003114646
0.16032064128256512,9.6030093362184,-10.119713445687577
0.1623246492985972,9.607698241890336,-10.120352338696266
0.16432865731462926,9.612303611720744,-10.121123923352384
0.16633266533066132,9.616820624402507,-10.121995958785174
0.16833667334669336,9.621245546856983,-10.122940395146124
0.17034068136272543,9.625575640411121,-10.123933017735032
0.1723446893787575,9.629808913217639,-10.124953154512705
0.17434869739478956,9.633942953227049,-10.125983196689086
0.17635270541082163,9.637979113637213,-10.12700847689404
0.1783567134268537,9.6419152293854,-10.128016771120338
0.18036072144288576,9.645752445198841,-10.12899811708477
0.18236472945891782,9.649491285700659,-10.129944508166968
0.1843687374749499,9.653132578047618,-10.13084965682797
0.18637274549098196,9.656678280955406,-10.131708802273009
0.18837675350701402,9.660128610918655,-10.132518386443483
0.1903807615230461,9.66348425030034,-10.133275979203285
0.19238476953907813,9.666747941062898,-10.133980157449198
0.1943887775551102,9.669921401429766,-10.13463024492078
0.19639278557114226,9.673006484413259,-10.135226260946654
0.19839679358717432,9.6760051067868,-10.135768778206801
0.2004008016032064,9.678919237785786,-10.136258820576188
0.20240480961923846,9.68175088599589,-10.136697777628635
0.20440881763527052,9.684502085421641,-10.13708733039323
