time,p,q,i_bus_D,i_bus_Q
0.0,0.49999999999999983,0.19999999999999996,-0.49995887718401033,0.2005518972007696
0.002004008016032064,0.4999990451489405,0.19999961805957622,-0.49995839328490727,0.20055172193887458
0.004008016032064128,0.49999913761104986,0.19999965504441997,-0.49995844391833555,0.20055172949822533
0.0060120240480961915,0.499999472733958,0.1999997890935832,-0.49995861240227973,0.2005517943740522
0.008016032064128256,0.499999998209093,0.1999999992836372,-0.49995887311596277,0.2005519047507914
0.01002004008016032,0.5000009184879586,0.20000036739518345,-0.49995934434314493,0.2005520615786905
0.012024048096192383,0.5000012554915687,0.2000005021966275,-0.4999595127519939,0.20055212936205719
0.014028056112224447,0.5000006450774116,0.20000025803096466,-0.4999591976557401,0.2005520316586328
0.01603206412825651,0.49999979085187146,0.1999999163407486,-0.49995876432934044,0.2005518759199717
0.018036072144288574,0.4999993223056309,0.19999972892225237,-0.49995852999750073,0.2005517821462494
0.02004008016032064,0.49999900815938947,0.1999996032637558,-0.49995837721603853,0.2005517084767103
0.022044088176352703,0.4999992443996335,0.1999996977598534,-0.4999584987119824,0.20055174741558252
0.024048096192384766,0.4999997599102305,0.1999999039640922,-0.49995875561444536,0.20055185287578076
0.026052104208416832,0.5000000714408853,0.20000002857635416,-0.49995890871927795,0.2005519219543336
0.028056112224448895,0.5000009748948719,0.2000003899579488,-0.4999593715742251,0.20055207530939653
0.03006012024048096,0.5000009044056012,0.20000036176224048,-0.4999593315837014,0.2005520730110595
0.03206412825651302,0.5000002390464271,0.20000009561857085,-0.49995899128743654,0.20055195862850667
0.03406813627254509,0.49999956940137735,0.19999982776055095,-0.4999586540186594,0.20055183049677686
0.03607214428857715,0.49999922916359557,0.19999969166543824,-0.49995848637987667,0.20055175611332934
0.038076152304609215,0.4999993302542889,0.19999973210171557,-0.49995854021302877,0.20055176818078188
0.04008016032064128,0.4999997427401037,0.1999998970960415,-0.4999587466064586,0.2005518504883454
