time,pi_cc_d,pi_cc_q,theta_pll,gamma_pll,i_vsc_a,i_vsc_b,i_vsc_c,v_sh_a,v_sh_b,v_sh_c,i_bus_a,i_bus_b,i_bus_c,i_l_f,v_dc_f,i_dc_f,i_load_f,x_1,x_2,i_L,v_dc,i_load,soc
0.0,0.2489566221772049,0.05087378744520468,-0.042340516845684684,0.0,0.34367531018880804,-0.48798366785066266,0.14430835766185482,1.4591625311561314,-0.8813368539757489,-0.5778256771803819,-1.13301044692981,0.27574761708316825,0.8572628298466413,1.7656987448788555,1.0,0.2828493724394277,0.6,0.8828493724394278,0.4999999999999999,1.7656987448788555,1.0,0.6,0.01
0.004008016032064128,0.24895662080696437,0.050873789286860316,1.4686455681837909,-8.081569228605296e-6,0.3849440268722134,0.08572988035220047,-0.47067390722387564,0.2621392633293416,1.1212715648035478,-1.3834108281328787,0.26741267115402517,-1.1305475400354226,0.8631348688819288,1.7656988166523744,0.9999999980357777,0.282849387654114,0.6,0.8828493725554297,0.5000000001661795,1.7656988626001078,1.0000000018535737,0.6,0.017076949727450313
0.008016032064128256,0.24895662006329675,0.05087379306610748,2.9796321130953487,-4.978039569720457e-6,-0.2976558098705181,0.4982324448044206,-0.20057663493343988,-1.4278241716313997,1.0153831412145695,0.4124410304168107,1.1649793082651454,-0.4109029798370613,-0.7540763284275768,1.7656987036224032,1.0000000003440432,0.28284935736108247,0.6,0.882849372613893,0.49999999893196356,1.7656983479314328,1.0000000023808633,0.6,0.024153897595704785
0.012024048096192383,0.24895661957851797,0.05087379555915897,4.490618634112705,-2.7377002990605417e-6,-0.42052834282058893,-0.026166968184741964,0.44669531100578663,-0.43283341577518986,-0.9998840446972159,1.4327174604724073,-0.12814123721051082,1.0814247061514712,-0.9532834689405055,1.7656987041986396,0.9999999996502364,0.2828493426800963,0.6,0.8828493726060521,0.5000000005885206,1.7656989820212574,0.9999999990311591,0.6,0.031230846220186625
0.01603206412825651,0.24895661930693286,0.050873797103278474,6.0016051368218175,-1.1455842367991772e-6,0.24738227283844022,-0.5013606756980933,0.25397840286007867,1.3760796066496235,-1.13491773400412,-0.24116187264550132,-1.1802983485995078,0.5401855728073786,0.640112775792553,1.765698737450399,1.0000000016134962,0.282849336855541,0.6,0.8828493725799683,0.49999999948475365,1.7656985293166279,1.0000000091897798,0.6,0.03830779540718095
0.02004008016032064,0.2489566191870249,0.050873797968996104,7.512591625393293,-4.075351166942683e-8,0.4501025243690141,-0.03376993620499186,-0.4163325881636179,0.5973416064393698,0.8642064059826885,-1.461548012422057,-0.012961559103549694,-1.0168463489707231,1.029807908074676,1.765698662854822,1.0000000028284262,0.28284933603497353,0.6,0.8828493723745203,0.500000000057099,1.765698695315041,1.0000000012026549,0.6,0.04538474332257045
0.024048096192384766,0.2489566191328589,0.050873798323743405,9.023578103080409,7.004220899553638e-7,-0.19357322247533842,0.4973235528585802,-0.30375033038287713,-1.3046683053102077,1.2382322404069983,0.06643606490318639,1.1787487695283776,-0.6617479416300839,-0.5170008278979118,1.7656987329512333,1.0000000028522413,0.2828493380505445,0.6,0.8828493721636942,0.5000000004865689,1.7656988448810262,1.0000000067474173,0.6,0.05246169270144105
0.028056112224448895,0.24895661915605433,0.050873798325122704,10.534564572430062,1.1730352562735277e-6,-0.4732439101684875,0.09322419769959361,0.3800197124692273,-0.7533126671679129,-0.71617763659459,1.4694903037625013,0.15387912964793785,0.9377353909704411,-1.091614520618034,1.7656986937241401,1.0000000046667605,0.28284934076522805,0.6,0.8828493718562936,0.4999999997897867,1.7656985188465277,1.0000000065832821,0.6,0.059538641102650273
0.03206412825651302,0.24895661922981538,0.050873798083338154,12.045551035518251,1.4519827290693127e-6,0.13699760509570258,-0.4861787167534036,0.3491811116580534,1.2146109132008198,-1.3238501451385232,0.10923923193770324,-1.1603527061882102,0.7738527061339036,0.38650000005465424,1.7656986996093733,1.000000004251346,0.28284934452372446,0.6,0.8828493714895956,0.5000000008007754,1.7656988778606357,1.000000002965612,0.6,0.06661558979258844
0.03607214428857715,0.24895661932587906,0.050873797676881216,13.556537493853787,1.591570968026445e-6,0.4896218567749391,-0.15134611173488302,-0.3382757450397517,0.8985176314396635,0.5579134687315689,-1.4564311001712358,-0.2925975348144844,-0.8452226098964452,1.1378201447112521,1.7656987312050165,1.000000004927367,0.28284934811728024,0.6,0.882849371135529,0.5000000002679473,1.7656986405805961,1.0000000082033529,0.6,0.07369253890831515
